time,x-axis,y-axis,z-axis,Event1,Event2
30.995 , 1.19 , 8.73 , 5.09,0,0
31.057000000000002 , 0.61 , 8.58 , 5.51,0,0
31.12 , 0.54 , 7.66 , 4.71,0,0
31.182000000000002 , 1.19 , 7.73 , 4.36,0,0
31.245 , 0.84 , 8.540000000000001 , 5.78,0,0
31.308 , 1.11 , 8.46 , 5.21,0,0
31.37 , 1.49 , 8.31 , 5.47,0,0
31.433 , 0.54 , 7.8100000000000005 , 5.7,0,0
31.496000000000002 , 0.5700000000000001 , 7.390000000000001 , 4.59,0,0
31.558 , 1.23 , 7.890000000000001 , 5.28,0,0
31.621000000000002 , 0.27 , 8.540000000000001 , 5.44,0,0
31.684 , 1.3800000000000001 , 8.77 , 5.9,0,0
31.747 , -0.19 , 8.73 , 6.390000000000001,0,0
31.810000000000002 , 1.0 , 8.31 , 5.09,0,0
31.873 , 0.6900000000000001 , 7.8500000000000005 , 5.36,0,0
31.936 , 1.19 , 7.5 , 4.79,0,0
31.999000000000002 , 1.3 , 7.890000000000001 , 5.01,0,0
32.062 , 0.5 , 8.0 , 5.32,0,0
32.125 , 0.92 , 7.7700000000000005 , 5.74,0,0
32.188 , 0.5700000000000001 , 8.120000000000001 , 6.32,0,0
32.251 , 0.42 , 7.62 , 7.24,0,0
32.314 , 1.53 , 6.32 , 6.55,0,0
32.378 , 0.84 , 5.86 , 6.97,0,0
32.441 , 1.99 , 6.47 , 7.3500000000000005,0,0
32.504 , 1.57 , 7.2 , 8.15,0,0
32.567 , 0.19 , 6.97 , 7.390000000000001,0,0
32.63 , 0.42 , 6.32 , 6.47,0,0
32.693 , 1.0 , 6.05 , 6.8500000000000005,0,0
32.756 , 1.1500000000000001 , 6.8500000000000005 , 6.7,0,0
32.819 , 0.65 , 6.62 , 7.16,0,0
32.882 , 1.6500000000000001 , 8.35 , 5.44,0,0
32.945 , 0.31 , 9.0 , 5.93,0,0
33.008 , -1.3800000000000001 , 7.04 , 6.32,0,0
33.071 , 8.540000000000001 , 6.16 , 12.06,0,0
33.134 , -1.76 , 4.9 , 8.58,0,0
33.197 , -2.91 , 4.21 , 7.5,0,0
33.256 , -5.28 , 2.7600000000000002 , 8.5,0,0
33.336 , -5.4 , 2.3000000000000003 , 7.54,0,0
33.402 , -3.48 , 2.83 , 6.24,0,0
33.467 , 0.5700000000000001 , -2.22 , 8.35,0,0
33.533 , -0.54 , -0.88 , 7.04,0,0
33.598 , -1.68 , -2.95 , 9.84,0,0
33.661 , -3.87 , -0.92 , 7.890000000000001,0,0
33.725 , -0.65 , -2.11 , 9.8,0,0
33.788000000000004 , 0.15 , -0.73 , 10.450000000000001,0,0
33.851 , 5.55 , 1.03 , 12.82,0,0
33.914 , 3.25 , 0.15 , 10.07,0,0
33.977000000000004 , 3.68 , 0.04 , 8.540000000000001,0,0
34.04 , 4.25 , -0.92 , 7.7700000000000005,0,0
34.103 , 2.91 , 0.77 , 10.91,0,0
34.166000000000004 , 4.1 , -0.15 , 9.15,0,0
34.229 , 4.75 , -0.27 , 8.84,0,0
34.292 , 3.29 , -0.27 , 8.540000000000001,0,0
34.355000000000004 , 5.24 , -0.42 , 8.23,0,0
34.418 , 5.13 , -0.04 , 8.8,0,0
34.481 , 4.86 , -0.46 , 8.040000000000001,0,0
34.544000000000004 , 4.67 , 0.0 , 8.46,0,0
34.607 , 4.94 , -0.42 , 8.58,0,0
34.67 , 4.29 , -0.04 , 8.73,0,0
34.733000000000004 , 4.5600000000000005 , -0.19 , 8.23,0,0
34.796 , 4.5600000000000005 , -0.27 , 8.15,0,0
34.859 , 4.82 , -0.31 , 8.19,0,0
34.922000000000004 , 4.63 , -0.04 , 8.65,0,0
34.985 , 4.86 , -0.38 , 8.73,0,0
35.048 , 4.63 , -0.34 , 9.0,0,0
35.111000000000004 , 4.5600000000000005 , 0.31 , 8.8,0,0
35.174 , 4.36 , -0.19 , 8.31,0,0
35.238 , 4.4 , 0.04 , 9.15,0,0
35.301 , 3.83 , 0.15 , 8.73,0,0
35.366 , 4.13 , -0.11 , 9.15,0,0
35.43 , 4.21 , -0.11 , 9.07,0,0
