time,x-axis,y-axis,z-axis,Event1,Event2

24.414,0.46,6.13,5.82,0,0

24.476,0.77,5.67,6.74,0,0

24.536,0.61,6.13,6.28,0,0

24.596,1.07,6.28,6.44,0,0

24.656,1.23,6.59,7.51,0,0

24.716,0.92,6.9,7.81,0,0

24.776,0.77,6.44,7.35,0,0

24.836,0.61,6.28,7.35,0,0

24.896,1.23,6.13,6.59,0,0

24.957,1.23,5.82,7.05,0,0

25.016,1.07,5.98,6.9,0,0

25.076,1.23,5.98,6.59,0,0

25.136,1.38,6.44,6.13,0,0

25.197,0.61,6.13,6.59,0,0

25.256,0.92,6.28,7.05,0,0

25.316,-0.31,5.67,8.12,0,0

25.376,-0.31,6.59,7.81,0,0

25.436,-0.15,6.13,7.66,0,0

25.496,-0.46,6.13,6.74,0,0

25.559,1.07,4.9,7.2,0,0

25.626,0.31,4.6,7.05,0,0

25.686,-0.15,3.37,7.35,0,0

25.746,0.31,4.75,8.12,0,0

25.806,-0.92,4.75,9.19,0,0

25.866,0.31,4.75,8.58,0,0

25.926,-0.15,5.06,8.43,0,0

25.986,-0.15,5.06,8.27,0,0

26.046,-0.92,4.44,7.97,0,0

26.108,-0.31,3.83,8.43,0,0

26.176,-0.31,3.52,9.19,0,0

26.236,-0.61,3.98,7.05,0,0

26.308,-0.31,3.98,7.97,0,0

26.377,0.31,3.98,9.04,0,0

26.436,0.31,4.14,8.12,0,0

26.497,-0.15,3.83,8.27,0,0

26.558,0.31,3.98,8.58,0,0

26.627,-0.15,4.6,8.27,0,0

26.696,-0.61,4.6,8.27,0,0

26.756,-1.69,4.14,6.74,0,0

26.816,-0.77,4.44,7.2,0,0

26.876,-0.15,4.44,9.35,0,0

26.938,-0.61,3.68,6.74,0,0

27.006,-1.53,5.36,10.11,0,0

27.066,-1.23,4.9,9.96,0,0

27.126,-1.69,4.44,5.82,0,0

27.186,-1.99,5.06,9.04,0,0

27.246,-1.38,3.52,11.19,0,0

27.306,-0.92,3.83,3.68,0,0

27.366,-0.31,5.67,6.13,0,0

27.426,0.31,5.06,9.35,0,0

27.486,0.31,3.83,5.06,0,0

27.546,0.15,3.52,8.12,0,0

27.606,0.31,3.37,10.27,0,0

27.666,0.31,5.67,10.57,0,0

27.726,2.15,5.36,9.04,0,0

27.786,3.22,4.29,8.12,0,0

27.846,3.98,4.29,8.12,0,0

27.915,3.52,4.9,7.35,0,0

27.986,3.37,5.36,5.82,0,0

28.046,2.3,3.37,5.06,0,0

28.11,0.46,3.52,7.81,0,0

28.176,-0.31,4.6,12.41,0,0

28.246,-0.15,4.75,8.12,0,0

28.306,-0.61,3.68,5.21,0,0

28.366,-1.84,3.83,8.89,0,0

28.426,-3.06,5.36,15.48,0,0

28.486,-0.92,5.36,5.82,0,0

28.546,1.38,3.37,2.76,0,0

28.606,0.77,4.29,11.19,0,0

28.666,0.77,4.14,12.87,0,0

28.726,-0.15,5.21,5.21,0,0

28.786,0.46,5.36,4.9,0,0

28.846,1.07,5.21,10.11,0,0

28.906,-0.31,4.44,8.58,0,0

28.966,-0.15,5.21,6.28,0,0

29.026,-0.31,4.75,8.43,0,0

29.086,0.31,4.29,10.27,0,0

29.147,-0.92,4.14,8.43,0,0

29.216,-1.38,4.29,7.51,0,0

29.276,-0.46,3.68,8.73,0,0

29.337,0.46,4.44,8.89,0,0

29.406,0.61,4.9,7.81,0,0

29.466,-0.15,3.98,8.27,0,0

29.536,-0.31,3.37,8.43,0,0

29.596,-0.15,2.91,8.43,0,0

29.66,-0.77,1.99,9.04,0,0

29.726,-1.23,0.77,9.04,0,0

29.786,-0.92,-0.31,10.57,0,0

29.846,0.46,-0.31,12.41,0,0

29.914,-0.31,1.07,10.27,0,0

29.976,-1.53,1.07,9.04,0,0

30.036,-1.07,0.46,9.65,0,0

30.096,-1.07,0.46,9.65,0,0

30.156,-0.92,0.77,9.65,0,0

30.216,-0.31,1.38,10.42,0,0

30.286,-0.46,1.38,10.57,0,0

30.346,-0.61,1.38,10.73,0,0

30.406,-0.31,1.38,9.96,0,0

30.466,-0.46,1.07,9.35,0,0

30.526,-0.92,1.23,10.42,0,0

30.586,-1.23,0.77,9.5,0,0

30.656,-0.31,0.61,10.42,0,0

30.716,-0.15,1.07,10.88,0,0

30.776,0.31,1.84,10.57,0,0

30.836,0.15,2.15,11.65,0,0

30.902,-0.15,1.23,10.73,0,0

30.966,0.92,1.53,10.88,0,0

31.026,0.77,0.92,9.65,0,0

31.086,0.61,1.53,8.73,0,0

31.15,-0.31,1.84,9.5,0,0

31.216,-0.92,2.45,10.27,0,0

31.276,-0.31,2.3,10.73,0,0

31.337,0.77,2.3,10.42,0,0

31.406,-1.07,2.76,11.49,0,0

31.466,-0.77,1.99,12.41,0,0

31.545,-0.92,2.6,8.12,0,0

31.606,-0.46,2.76,8.89,0,0

31.666,0.61,2.6,11.19,0,0

31.726,1.07,1.69,10.57,0,0

31.786,0.46,2.91,5.82,0,0

31.846,0.31,2.45,6.28,0,0

31.906,-0.46,3.22,5.98,0,0

31.966,-0.77,4.9,7.51,0,0

32.026,0.61,6.9,8.43,0,0

32.087,1.23,7.35,13.48,0,0

32.151,1.23,9.35,12.87,0,0

32.216,1.69,4.9,8.12,0,0

32.276,2.15,4.75,7.2,0,0

32.346,1.23,3.06,3.06,0,0

32.416,1.69,2.76,3.52,0,0

32.476,1.07,3.22,5.06,0,0

32.555,0.77,4.14,7.81,0,0

32.616,0.92,6.13,9.19,0,0

32.676,0.46,7.51,9.5,0,0

32.736,-0.61,9.65,9.35,0,0

32.796,-2.6,9.96,8.12,0,0

32.856,-0.61,5.67,4.6,0,0

32.916,0.15,4.75,3.68,0,0

32.976,-0.31,4.14,5.67,0,0

33.036,-0.61,4.14,7.05,0,0

33.096,-0.46,5.21,5.82,0,0

33.158,0.92,6.44,5.98,0,0

33.226,0.92,7.66,7.05,0,0

33.286,-0.15,7.66,7.97,0,0

33.346,-0.61,7.51,7.51,0,0

33.41,-0.61,7.35,7.81,0,0

33.479,-3.22,5.21,7.05,0,0

33.546,-1.07,5.06,6.74,0,0

33.606,-0.61,6.28,5.36,0,0

33.666,-0.46,7.51,5.06,0,0

33.736,0.31,7.51,4.75,0,0

33.796,-0.15,6.9,5.36,0,0

33.856,0.15,7.51,5.36,0,0

33.916,0.46,7.97,5.52,0,0

33.976,0.46,9.04,5.82,0,0

34.036,0.31,8.73,5.52,0,0

34.096,-0.77,6.74,5.98,0,0

34.156,-1.84,6.13,6.28,0,0

34.219,-1.23,6.74,6.13,0,0

34.286,-0.46,6.9,5.98,0,0

34.346,-0.31,6.74,5.98,0,0

34.417,0.31,7.05,5.98,0,0

34.483,-0.31,7.2,6.13,0,0

34.546,-0.61,7.35,6.44,0,0

34.606,-0.77,7.2,6.44,0,0

34.666,-0.61,7.2,6.59,0,0

34.726,-0.77,7.2,5.98,0,0

34.786,-0.77,7.2,5.98,0,0

34.846,-0.61,7.2,5.98,0,0

34.916,-0.46,6.59,5.98,0,0

34.976,-1.07,6.59,5.82,0,0

35.036,-1.38,6.59,5.82,0,0

35.096,-1.38,7.05,6.28,0,0

35.156,-1.23,7.2,6.44,0,0

35.226,-1.07,6.9,6.9,0,0

35.286,-0.46,6.9,6.59,0,0

35.346,-0.15,6.74,6.44,0,0

35.406,-0.15,6.59,5.98,0,0

35.466,0.15,6.9,5.52,0,0

35.526,0.15,7.35,5.82,0,0

35.586,-0.46,7.81,6.13,0,0

35.655,-1.07,7.2,6.28,0,0

35.716,-0.92,7.05,6.59,0,0

35.776,-0.46,7.05,6.44,0,0

35.836,-0.31,6.74,6.59,0,0

35.896,-0.61,6.59,6.13,0,0

35.966,-0.46,7.35,6.13,0,0

36.026,-0.46,7.2,6.74,0,0

36.086,-0.61,7.05,6.44,0,0

36.146,-0.77,7.05,6.13,0,0

36.206,-0.46,7.05,5.82,0,0

36.266,-0.77,6.74,5.82,0,0

36.326,-0.46,6.74,5.82,0,0

36.396,-0.46,7.2,6.13,0,0

36.466,-0.61,7.2,6.74,0,0

36.536,-0.92,7.2,6.59,0,0

36.596,-0.92,6.9,6.44,0,0

36.66,-0.31,6.44,6.59,0,0

36.726,-0.46,6.59,6.28,0,0

36.786,0.46,7.51,6.59,0,0

36.846,0.15,7.51,6.28,0,0

36.912,-0.31,6.9,6.13,0,0

36.976,-0.61,7.35,5.98,0,0

37.036,-0.31,6.9,6.13,0,0

37.096,-0.31,6.59,6.13,0,0

37.165,0.15,7.05,5.98,0,0

37.226,-0.46,7.66,6.28,0,0

37.286,-0.77,6.74,6.13,0,0

37.346,-0.77,7.2,6.28,0,0

37.406,-0.46,6.44,6.44,0,0

37.466,0.15,7.05,6.59,0,0

37.526,0.31,7.51,6.13,0,0

37.586,0.31,7.2,6.13,0,0

37.646,-0.31,7.05,5.52,0,0

37.706,-0.31,6.9,5.82,0,0

37.766,-0.31,7.05,6.28,0,0

37.826,0.15,7.05,6.74,0,0

37.89,-0.46,6.74,6.59,0,0

37.956,-0.31,7.05,5.67,0,0

38.016,-0.15,7.51,6.44,0,0

38.076,-0.31,6.59,6.44,0,0

38.154,-0.15,7.2,6.28,0,0

38.214,0.61,7.2,7.2,0,0

38.276,-0.15,6.59,6.59,0,0

38.336,-0.61,7.2,5.98,0,0

38.396,-0.77,6.9,6.13,0,0

38.466,-0.31,6.44,5.82,0,0

38.527,0.31,7.66,5.52,0,0

38.596,0.31,7.35,6.13,0,0

38.656,-0.77,6.28,6.13,0,0

38.716,-0.46,6.44,6.28,0,0

38.776,0.15,6.44,6.44,0,0

38.836,-0.15,6.9,5.98,0,0

38.904,-0.61,6.9,6.28,0,0

38.966,-0.92,7.35,6.13,0,0

39.026,-0.77,7.2,7.51,0,0

39.086,0.31,6.74,7.51,0,0

39.146,0.15,7.35,7.2,0,0

39.206,-0.15,7.05,6.74,0,0

39.266,-0.15,6.74,6.59,0,0

39.326,0.15,7.35,6.28,0,0

39.405,0.15,6.9,5.98,0,0

39.466,-0.15,7.05,5.67,0,0

39.536,0.31,7.51,5.98,0,0

39.596,-0.15,6.28,5.98,0,0

39.666,-0.31,6.13,6.28,0,0

39.726,-0.46,6.9,6.44,0,0

39.786,-0.15,7.2,6.59,0,0

39.846,-0.31,7.05,6.59,0,0

39.906,-0.46,6.13,6.13,0,0

39.966,-0.31,7.05,6.44,0,0

40.026,-0.15,7.66,7.05,0,0

40.086,-0.15,6.59,6.44,0,0

40.152,-0.31,5.98,5.67,0,0

40.216,0.15,7.51,5.82,0,0

40.276,-0.15,7.05,6.44,0,0

40.336,-0.61,6.74,6.44,0,0

40.404,-0.61,6.74,6.13,0,0

40.466,-0.77,6.9,7.2,0,0

40.536,-0.61,7.05,8.27,0,0

40.601,-0.46,7.05,7.81,0,0

40.666,0.15,6.13,5.82,0,0

40.726,0.15,7.35,4.9,0,0

40.786,0.31,6.59,5.21,0,0

40.846,-0.15,5.82,5.82,0,0

40.906,-0.77,5.98,5.98,0,0

40.966,0.46,6.74,6.13,0,0

41.026,0.31,7.51,7.35,0,0

41.086,0.15,7.35,7.51,0,0

41.156,-0.61,7.51,6.9,0,0

41.216,-0.61,7.51,6.9,0,0

41.276,-0.15,6.59,5.98,0,0

41.336,-0.15,5.82,5.67,0,0

41.399,-0.46,5.36,6.28,0,0

41.466,-0.15,6.13,7.05,0,0

41.526,-0.15,6.59,8.27,0,0

41.596,0.31,6.44,8.73,0,0

41.656,-0.77,5.82,7.81,0,0

41.716,-0.46,5.98,7.51,0,0

41.776,-0.31,6.28,6.74,0,0

41.836,-0.31,5.36,6.59,0,0

41.903,-0.15,6.13,6.74,0,0

41.966,-0.31,6.59,7.66,0,0

42.026,0.46,4.9,7.05,0,0

42.086,1.23,5.98,5.82,0,0

42.156,0.61,8.27,6.59,0,0

