time,x-axis,y-axis,z-axis,Event1,Event2,latitude,longitude
18.87 , -0.27 , 6.01 , 7.2700000000000005,0,0,0.0 , 0.0
18.900000000000002 , -0.96 , 5.9 , 8.08,0,0,0.0 , 0.0
18.931 , -0.92 , 5.86 , 8.15,0,0,0.0 , 0.0
18.961000000000002 , -0.5 , 5.78 , 7.8500000000000005,0,0,0.0 , 0.0
18.992 , -0.65 , 5.78 , 7.96,0,0,0.0 , 0.0
19.022000000000002 , -0.6900000000000001 , 5.82 , 7.96,0,0,0.0 , 0.0
19.053 , -0.5700000000000001 , 5.82 , 7.8500000000000005,0,0,0.0 , 0.0
19.083000000000002 , -0.61 , 5.82 , 7.8500000000000005,0,0,0.0 , 0.0
19.114 , -0.5 , 5.74 , 7.66,0,0,0.0 , 0.0
19.144000000000002 , -0.5700000000000001 , 5.82 , 7.5,0,0,0.0 , 0.0
19.175 , -0.6900000000000001 , 5.9 , 7.54,0,0,0.0 , 0.0
19.205000000000002 , -0.88 , 5.93 , 7.66,0,0,0.0 , 0.0
19.236 , -0.84 , 6.09 , 7.66,0,0,0.0 , 0.0
19.266000000000002 , -0.84 , 6.16 , 7.62,0,0,0.0 , 0.0
19.297 , -1.0 , 6.2 , 7.66,0,0,0.0 , 0.0
19.327 , -1.0 , 6.09 , 7.66,0,0,0.0 , 0.0
19.358 , -0.92 , 6.01 , 7.58,0,0,0.0 , 0.0
19.388 , -0.96 , 6.01 , 7.54,0,0,0.0 , 0.0
19.418 , -0.88 , 6.05 , 7.43,0,0,0.0 , 0.0
19.449 , -0.6900000000000001 , 6.05 , 7.5,0,0,0.0 , 0.0
19.48 , -0.6900000000000001 , 6.01 , 7.62,0,0,0.0 , 0.0
19.51 , -0.6900000000000001 , 6.05 , 7.69,0,0,0.0 , 0.0
19.541 , -0.65 , 6.05 , 7.73,0,0,0.0 , 0.0
19.571 , -0.61 , 6.01 , 7.7700000000000005,0,0,0.0 , 0.0
19.602 , -0.6900000000000001 , 5.97 , 7.73,0,0,0.0 , 0.0
19.632 , -0.73 , 6.05 , 7.58,0,0,0.0 , 0.0
19.663 , -0.77 , 6.13 , 7.3500000000000005,0,0,0.0 , 0.0
19.693 , -0.8 , 6.09 , 7.390000000000001,0,0,0.0 , 0.0
19.724 , -0.84 , 6.13 , 7.390000000000001,0,0,0.0 , 0.0
19.754 , -0.73 , 6.09 , 7.54,0,0,0.0 , 0.0
19.785 , -0.5700000000000001 , 6.01 , 7.69,0,0,0.0 , 0.0
19.815 , -0.61 , 6.05 , 7.66,0,0,0.0 , 0.0
19.846 , -0.65 , 6.09 , 7.58,0,0,0.0 , 0.0
19.876 , -0.5700000000000001 , 6.05 , 7.62,0,0,0.0 , 0.0
19.907 , -0.46 , 5.97 , 7.66,0,0,0.0 , 0.0
19.937 , -0.5700000000000001 , 5.97 , 7.73,0,0,0.0 , 0.0
