time,x-axis,y-axis,z-axis,Event1,Event2,latitude,longitude

36.67,-0.72,4.36,8.84,0,0,0,0

36.701,-0.64,4.25,8.73,0,0,0,0

36.733,-0.38,4.17,8.92,0,0,0,0

36.765,-0.34,4.02,8.88,0,0,0,0

36.796,-0.19,3.79,9.19,0,0,0,0

36.83,0.03,3.75,9.3,0,0,0,0

36.863,-0.19,3.68,9.41,0,0,0,0

36.9,-0.41,3.55,9.26,0,0,0,0

36.931,-0.61,3.45,9.19,0,0,0,0

36.964,-0.64,3.41,9.07,0,0,0,0

36.995,-0.8,3.32,8.96,0,0,0,0

37.027,-0.91,3.28,8.96,0,0,0,0

37.063,-0.95,3.26,8.92,0,0,0,0

37.097,-0.87,3.21,8.8,0,0,0,0

37.133,-0.64,3.21,9.07,0,0,0,0

37.17,-0.3,3.09,9.15,0,0,0,0

37.207,-0.03,2.98,9.34,0,0,0,0

37.239,0.26,2.94,9.58,0,0,0,0

37.271,0.49,2.98,9.49,0,0,0,0

37.302,0.34,3.06,9.72,0,0,0,0

37.334,0.22,3.02,9.83,0,0,0,0

37.366,0.22,3.02,9.68,0,0,0,0

37.397,0.22,3.02,9.53,0,0,0,0

37.43,0.07,2.9,9.22,0,0,0,0

37.461,-0.3,2.56,9.15,0,0,0,0

37.493,-0.61,2.41,9.07,0,0,0,0

37.525,-0.61,2.37,8.92,0,0,0,0

37.556,-0.45,2.56,9.07,0,0,0,0

37.588,-0.07,2.9,9.19,0,0,0,0

37.619,0.57,3.32,9.45,0,0,0,0

37.651,0.8,3.41,9.6,0,0,0,0

37.683,0.72,3.36,9.58,0,0,0,0

37.714,0.68,3.26,9.53,0,0,0,0

37.746,0.76,3.28,9.38,0,0,0,0

37.778,0.61,3.06,9.11,0,0,0,0

37.809,0.45,2.98,9.22,0,0,0,0

37.841,0.53,2.94,9.49,0,0,0,0

37.873,0.41,2.94,9.38,0,0,0,0

37.905,0.22,2.94,9.22,0,0,0,0

37.936,0.22,3.02,8.96,0,0,0,0

37.968,0.34,3.06,9.15,0,0,0,0

38,0.26,2.86,9.53,0,0,0,0

38.031,0.26,2.75,9.64,0,0,0,0

38.063,0.34,2.75,9.77,0,0,0,0

38.094,0.26,2.86,9.49,0,0,0,0

38.126,0.22,2.9,9.3,0,0,0,0

38.158,0.22,2.98,9.34,0,0,0,0

38.189,0.15,2.9,9.3,0,0,0,0

38.221,0.07,2.79,9.6,0,0,0,0

38.253,-0.03,2.71,9.53,0,0,0,0

38.287,0.15,2.86,9.34,0,0,0,0

38.322,0.34,2.86,9.45,0,0,0,0

38.36,0.07,2.75,9.64,0,0,0,0

38.395,0.07,2.79,9.34,0,0,0,0

38.427,-0.07,2.75,9.41,0,0,0,0

38.459,-0.15,2.75,9.45,0,0,0,0

38.49,-0.15,2.71,9.07,0,0,0,0

38.522,0,2.86,9.03,0,0,0,0

38.554,0.03,2.98,9.26,0,0,0,0

38.585,0.07,2.94,9.19,0,0,0,0

38.617,0.19,3.02,9.22,0,0,0,0

38.649,0.3,3.13,9.19,0,0,0,0

38.68,0.19,2.98,9.3,0,0,0,0

38.712,-0.03,2.86,9.6,0,0,0,0

38.744,-0.15,2.86,9.49,0,0,0,0

38.775,-0.19,2.67,9.49,0,0,0,0

38.807,-0.34,2.67,9.64,0,0,0,0

38.839,-0.53,2.67,9.77,0,0,0,0

38.87,-0.45,2.52,10.07,0,0,0,0

38.902,-0.61,2.25,10.02,0,0,0,0

38.934,-0.8,2.1,9.81,0,0,0,0

38.965,-0.76,2.22,9.45,0,0,0,0

39.002,-0.61,2.37,9.07,0,0,0,0

39.04,-0.68,2.33,9.03,0,0,0,0

39.08,-0.8,2.22,9.26,0,0,0,0

39.111,-0.95,2.14,9.45,0,0,0,0

39.143,-0.76,2.14,9.58,0,0,0,0

39.175,-0.64,2.18,9.38,0,0,0,0

39.206,-0.49,2.37,9.22,0,0,0,0

39.238,-0.22,2.83,9.3,0,0,0,0

39.27,-0.19,2.9,9.64,0,0,0,0

39.301,-0.57,2.79,9.77,0,0,0,0

39.333,-0.83,2.67,9.77,0,0,0,0

39.366,-0.72,2.75,9.64,0,0,0,0

39.398,-0.61,2.9,9.53,0,0,0,0

39.432,-0.72,2.9,9.64,0,0,0,0

39.467,-0.76,2.86,9.58,0,0,0,0

39.5,-0.61,2.86,9.58,0,0,0,0

39.531,-0.64,2.86,9.72,0,0,0,0

39.563,-0.61,2.79,9.6,0,0,0,0

39.595,-0.49,2.83,9.41,0,0,0,0

39.626,-0.45,2.71,9.34,0,0,0,0

39.658,-0.49,2.6,9.45,0,0,0,0

39.69,-0.38,2.64,9.19,0,0,0,0

39.721,-0.41,2.71,9.11,0,0,0,0

39.753,-0.61,2.79,9.15,0,0,0,0

39.784,-0.68,2.86,9.34,0,0,0,0

39.816,-0.68,2.79,9.6,0,0,0,0

39.848,-0.64,2.79,9.68,0,0,0,0

39.88,-0.49,2.86,9.49,0,0,0,0

39.911,-0.49,2.94,9.45,0,0,0,0

39.943,-0.61,2.9,9.41,0,0,0,0

39.975,-0.53,2.86,9.38,0,0,0,0

40.006,-0.49,2.83,9.34,0,0,0,0

40.038,-0.34,2.79,9.26,0,0,0,0

40.07,-0.26,2.94,9.19,0,0,0,0

40.101,-0.34,2.98,9.15,0,0,0,0

40.133,-0.45,2.83,9.3,0,0,0,0

40.164,-0.38,2.79,9.53,0,0,0,0

40.196,-0.26,2.86,9.49,0,0,0,0

40.228,-0.22,2.9,9.41,0,0,0,0

40.259,-0.26,2.98,9.34,0,0,0,0

40.291,-0.45,2.98,9.53,0,0,0,0

40.323,-0.57,2.83,9.64,0,0,0,0

40.354,-0.3,2.94,9.45,0,0,0,0

40.386,-0.15,2.98,9.38,0,0,0,0

40.418,-0.3,2.9,9.3,0,0,0,0

40.451,-0.68,2.86,9.45,0,0,0,0

40.483,-0.41,2.75,9.38,0,0,0,0

40.521,-0.22,2.9,9.53,0,0,0,0

40.559,-0.07,3.09,9.38,0,0,0,0

40.596,0.22,2.6,10,0,0,0,0

40.628,0,2.45,9.45,0,0,0,0

40.659,0.07,2.67,9.34,0,0,0,0

40.691,-0.07,2.48,9.58,0,0,0,0

40.723,-0.3,2.29,9.83,0,0,0,0

40.754,-0.07,2.14,8.92,0,0,0,0

40.786,-0.11,2.45,9.53,0,0,0,0

40.818,-0.19,2.45,9.49,0,0,0,0

40.851,0.03,2.48,9.38,0,0,0,0

40.89,-0.22,2.37,9.6,0,0,0,0

40.93,-0.41,2.18,9.45,0,0,0,0

40.961,-0.38,2.14,9.26,0,0,0,0

40.993,-0.49,2.29,9.83,0,0,0,0

41.025,-0.41,2.25,9.53,0,0,0,0

41.057,-0.15,2.33,9.41,0,0,0,0

41.089,-0.3,2.37,9.34,0,0,0,0

41.121,-0.3,2.67,9.58,0,0,0,0

41.157,0.07,2.56,9.11,0,0,0,0

41.19,-0.03,2.64,10.19,0,0,0,0

41.228,0.07,2.37,9.72,0,0,0,0

41.26,-0.11,2.48,8.99,0,0,0,0

41.297,-0.19,2.64,9.26,0,0,0,0

41.329,-0.11,2.56,9.41,0,0,0,0

41.361,-0.19,2.45,9.58,0,0,0,0

41.393,-0.19,2.41,9.49,0,0,0,0

41.425,-0.03,2.52,9.77,0,0,0,0

41.456,0.03,2.52,9.68,0,0,0,0

41.488,0.11,2.45,9.45,0,0,0,0

41.519,0.19,2.56,9.38,0,0,0,0

41.551,0.26,2.64,9.26,0,0,0,0

41.583,0.19,2.48,9.38,0,0,0,0

41.615,0.11,2.41,9.19,0,0,0,0

41.651,0.11,2.56,9.41,0,0,0,0

41.69,0.11,2.64,9.64,0,0,0,0

41.727,0.22,2.67,9.68,0,0,0,0

