time,x-axis,y-axis,z-axis,Event1,Event2, ,

47.158 s,-3.06,3.83,9.19,0,0,28.64552929,77.31799159

47.184 s,-2.76,3.37,7.97,0,0,28.64552929,77.31799159

47.203 s,-2.6,3.68,7.66,0,0,28.64552929,77.31799159

47.236000000000004 s,-2.76,3.68,8.12,0,0,28.64552929,77.31799159

47.27 s,-2.76,3.52,7.81,0,0,28.64552929,77.31799159

47.298 s,-2.6,3.68,7.81,0,0,28.64552929,77.31799159

47.318 s,-2.6,3.68,7.81,0,0,28.64552929,77.31799159

47.345 s,-2.6,3.68,7.97,0,0,28.64552929,77.31799159

47.363 s,-2.6,3.52,7.97,0,0,28.64552929,77.31799159

47.382 s,-2.6,3.52,7.97,0,0,28.64552929,77.31799159

47.402 s,-2.45,3.52,8.12,0,0,28.64552929,77.31799159

47.417 s,-2.45,3.52,8.12,0,0,28.64552929,77.31799159

47.436 s,-2.3,3.52,8.43,0,0,28.64552929,77.31799159

47.454 s,-2.3,3.52,8.58,0,0,28.64552929,77.31799159

47.474000000000004 s,-2.3,3.52,8.58,0,0,28.64552929,77.31799159

47.494 s,-2.3,3.68,8.58,0,0,28.64552929,77.31799159

47.514 s,-2.3,3.68,8.58,0,0,28.64552929,77.31799159

47.534 s,-2.15,3.68,8.58,0,0,28.64552929,77.31799159

47.554 s,-1.99,3.68,8.43,0,0,28.64552929,77.31799159

47.574 s,-1.99,3.68,8.43,0,0,28.64552929,77.31799159

47.594 s,-2.15,3.68,8.43,0,0,28.64552929,77.31799159

47.614000000000004 s,-2.15,3.68,8.43,0,0,28.64552929,77.31799159

47.634 s,-2.15,3.68,8.43,0,0,28.64552929,77.31799159

47.654 s,-1.84,3.68,8.27,0,0,28.64552929,77.31799159

47.674 s,-1.84,3.68,8.27,0,0,28.64552929,77.31799159

47.694 s,-1.84,3.68,8.12,0,0,28.64552929,77.31799159

47.714 s,-1.84,3.68,8.27,0,0,28.64552929,77.31799159

47.734 s,-1.84,3.68,8.27,0,0,28.64552929,77.31799159

47.754 s,-1.99,3.68,8.43,0,0,28.64552929,77.31799159

47.774 s,-2.15,3.83,8.43,0,0,28.64552929,77.31799159

47.794000000000004 s,-2.15,3.83,8.43,0,0,28.64552929,77.31799159

47.814 s,-1.99,3.68,8.43,0,0,28.64552929,77.31799159

47.834 s,-1.99,3.68,8.43,0,0,28.64552929,77.31799159

47.854 s,-1.99,3.83,8.27,0,0,28.64552929,77.31799159

47.875 s,-1.84,3.83,8.43,0,0,28.64552929,77.31799159

47.894 s,-1.84,3.83,8.43,0,0,28.64552929,77.31799159

47.914 s,-1.84,3.83,8.27,0,0,28.64552929,77.31799159

47.942 s,-1.99,3.83,8.43,0,0,28.64552929,77.31799159

47.974000000000004 s,-1.99,3.83,8.27,0,0,28.64552929,77.31799159

47.994 s,-1.99,3.83,8.27,0,0,28.64552929,77.31799159

48.015 s,-1.84,3.83,8.27,0,0,28.64552929,77.31799159

48.034 s,-1.84,3.83,8.27,0,0,28.64552929,77.31799159

48.054 s,-1.84,3.83,8.27,0,0,28.64552929,77.31799159

48.074 s,-1.99,3.83,8.27,0,0,28.64552929,77.31799159

