time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata
30.321 s, 1.95 , 6.24 , 8.58,0,0,28.57958104,77.21447182
30.351 s, 1.8800000000000001 , 6.62 , 6.24,0,0,28.57958104,77.21447182
30.382 s, 1.8800000000000001 , 6.62 , 6.05,0,0,28.57958104,77.21447182
30.413 s, 1.95 , 6.3500000000000005 , 7.7700000000000005,0,0,28.57958104,77.21447182
30.443 s, 2.0300000000000002 , 6.390000000000001 , 7.390000000000001,0,0,28.57958104,77.21447182
30.474 s, 2.22 , 6.24 , 7.04,0,0,28.57958104,77.21447182
30.504 s, 2.49 , 6.43 , 6.93,0,0,28.57958104,77.21447182
30.535 s, 2.37 , 6.28 , 6.78,0,0,28.57958104,77.21447182
30.566 s, 2.18 , 6.32 , 6.74,0,0,28.57958104,77.21447182
30.596 s, 2.22 , 6.32 , 7.3500000000000005,0,0,28.57958104,77.21447182
30.626 s, 2.22 , 6.24 , 7.92,0,0,28.57958104,77.21447182
30.657 s, 2.0300000000000002 , 6.13 , 8.0,0,0,28.57958104,77.21447182
30.687 s, 2.18 , 6.32 , 7.5,0,0,28.57958104,77.21447182
30.718 s, 2.34 , 6.28 , 7.16,0,0,28.57958104,77.21447182
30.748 s, 2.22 , 6.16 , 7.01,0,0,28.57958104,77.21447182
30.779 s, 2.22 , 6.32 , 6.8100000000000005,0,0,28.57958104,77.21447182
30.809 s, 2.37 , 6.28 , 7.01,0,0,28.57958104,77.21447182
30.84 s, 2.2600000000000002 , 6.13 , 7.3500000000000005,0,0,28.57958104,77.21447182
30.87 s, 2.11 , 6.13 , 7.43,0,0,28.57958104,77.21447182
30.901 s, 1.99 , 6.13 , 7.3500000000000005,0,0,28.57958104,77.21447182
30.931 s, 2.14 , 6.28 , 6.93,0,0,28.57958104,77.21447182
30.962 s, 2.37 , 6.3500000000000005 , 6.8500000000000005,0,0,28.57958104,77.21447182
30.993000000000002 s, 2.64 , 6.09 , 7.66,0,0,28.57958104,77.21447182
31.023 s, 2.18 , 6.01 , 7.54,0,0,28.57958104,77.21447182
31.054000000000002 s, 2.18 , 6.13 , 7.5,0,0,28.57958104,77.21447182
31.085 s, 2.0300000000000002 , 6.24 , 7.62,0,0,28.57958104,77.21447182
31.115000000000002 s, 2.2600000000000002 , 5.93 , 8.19,0,0,28.57958104,77.21447182
31.146 s, 2.41 , 5.13 , 7.5,0,0,28.57958104,77.21447182
31.176000000000002 s, 2.14 , 5.78 , 7.5,0,0,28.57958104,77.21447182
31.207 s, 1.95 , 6.24 , 7.54,0,0,28.57958104,77.21447182
31.237000000000002 s, 1.8800000000000001 , 6.3500000000000005 , 7.2700000000000005,0,0,28.57958104,77.21447182
31.268 s, 1.45 , 6.58 , 6.74,0,0,28.57958104,77.21447182
31.299 s, 0.8 , 6.2 , 6.24,0,0,28.57958104,77.21447182
31.329 s, 1.76 , 5.63 , 7.390000000000001,0,0,28.57958104,77.21447182
31.36 s, 3.29 , 5.86 , 8.38,0,0,28.57958104,77.21447182
31.39 s, 2.91 , 6.3500000000000005 , 7.24,0,0,28.57958104,77.21447182
31.421 s, 1.9100000000000001 , 6.3500000000000005 , 6.55,0,0,28.57958104,77.21447182
31.451 s, 1.8 , 6.43 , 7.01,0,0,28.57958104,77.21447182
31.482 s, 1.76 , 6.28 , 7.2,0,0,28.57958104,77.21447182
31.512 s, 1.76 , 6.05 , 7.16,0,0,28.57958104,77.21447182
31.543 s, 1.95 , 6.01 , 7.69,0,0,28.57958104,77.21447182
31.573 s, 2.11 , 6.01 , 7.96,0,0,28.57958104,77.21447182
31.604 s, 1.95 , 5.86 , 7.66,0,0,28.57958104,77.21447182
31.634 s, 2.07 , 5.97 , 7.62,0,0,28.57958104,77.21447182
31.665 s, 2.3000000000000003 , 6.2 , 7.5,0,0,28.57958104,77.21447182
31.696 s, 2.3000000000000003 , 6.2 , 7.3500000000000005,0,0,28.57958104,77.21447182
