time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata

52.266,-0.26,2.03,9.77,0,0,unable to access data

52.297,-0.19,1.91,10,0,0,unable to access data

52.33,-0.41,2.22,10.07,0,0,unable to access data

52.362,-0.15,1.91,9.92,0,0,unable to access data

52.394,0.26,1.38,9.87,0,0,unable to access data

52.425,0.07,1.23,9.92,0,0,unable to access data

52.457,0.07,1.57,9.96,0,0,unable to access data

52.489,0.19,1.8,9.81,0,0,unable to access data

52.52,-0.07,1.84,10.34,0,0,unable to access data

52.552,-0.03,1.63,10.07,0,0,unable to access data

52.583,0.15,1.38,9.68,0,0,unable to access data

52.615,0.72,1.42,10.26,0,0,unable to access data

52.647,0.83,1.18,10.34,0,0,unable to access data

52.678,0.07,0.68,10.11,0,0,unable to access data

52.71,0.3,0.57,9.77,0,0,unable to access data

52.742,0.72,0.68,10.02,0,0,unable to access data

52.773,0.49,0.45,10.38,0,0,unable to access data

52.805,0.41,0.53,9.68,0,0,unable to access data

52.837,0.41,0.76,9.58,0,0,unable to access data

52.868,0.45,0.61,9.81,0,0,unable to access data

52.9,0.57,0.76,9.92,0,0,unable to access data

52.933,0.64,0.91,9.64,0,0,unable to access data

52.966,0.83,1.02,9.11,0,0,unable to access data

53,0.76,1.38,8.84,0,0,unable to access data

53.033,0.57,1.23,9.6,0,0,unable to access data

53.07,0.57,1.25,9.81,0,0,unable to access data

53.102,0.68,1.33,9.3,0,0,unable to access data

53.134,0.76,1.48,9.41,0,0,unable to access data

53.165,0.83,1.42,9.6,0,0,unable to access data

53.197,0.8,1.42,10.11,0,0,unable to access data

53.229,0.64,1.38,10.34,0,0,unable to access data

53.261,0.83,1.42,10,0,0,unable to access data

53.293,0.87,1.44,9.64,0,0,unable to access data

53.324,0.76,1.44,9.96,0,0,unable to access data

53.356,0.76,1.42,10.02,0,0,unable to access data

53.394,0.95,1.48,9.72,0,0,unable to access data

53.433,0.87,1.44,9.92,0,0,unable to access data

53.472,0.72,1.33,10,0,0,unable to access data

53.503,0.8,1.33,9.81,0,0,unable to access data

53.535,0.76,1.38,9.77,0,0,unable to access data

53.567,0.64,1.33,10.02,0,0,unable to access data

53.598,0.68,1.25,10,0,0,unable to access data

53.63,0.72,1.33,9.92,0,0,unable to access data

53.662,0.72,1.33,9.81,0,0,unable to access data

53.694,0.72,1.33,9.64,0,0,unable to access data

53.757,0.72,1.38,9.81,0,0,unable to access data

53.791,0.61,1.38,9.96,0,0,unable to access data

53.854,0.68,1.44,10,0,0,unable to access data

53.889,0.8,1.57,9.87,0,0,unable to access data

53.921,0.72,1.57,9.83,0,0,unable to access data

53.952,0.72,1.68,9.68,0,0,unable to access data

53.984,0.83,1.76,9.53,0,0,unable to access data

54.016,0.8,1.68,9.83,0,0,unable to access data

54.047,0.61,1.53,9.81,0,0,unable to access data

54.079,0.72,1.61,9.64,0,0,unable to access data

54.11,0.87,1.57,9.58,0,0,unable to access data

54.142,0.76,1.42,10.15,0,0,unable to access data

54.173,0.83,1.42,10.22,0,0,unable to access data

54.205,1.1,1.53,9.68,0,0,unable to access data

54.237,1.25,1.53,9.45,0,0,unable to access data

54.273,1.06,1.48,9.58,0,0,unable to access data

54.31,1.18,1.53,9.77,0,0,unable to access data

54.343,1.1,1.44,9.45,0,0,unable to access data

54.381,0.99,1.44,9.45,0,0,unable to access data

54.418,1.06,1.57,9.6,0,0,unable to access data

54.452,0.91,1.53,9.68,0,0,unable to access data

54.484,0.76,1.33,9.81,0,0,unable to access data

54.515,0.91,1.38,9.72,0,0,unable to access data

54.547,0.99,1.44,9.72,0,0,unable to access data

54.578,0.99,1.44,9.77,0,0,unable to access data

54.61,0.95,1.53,9.96,0,0,unable to access data

54.644,0.91,1.48,9.96,0,0,unable to access data

54.683,0.87,1.42,9.72,0,0,unable to access data

54.723,0.8,1.44,9.92,0,0,unable to access data

54.761,0.8,1.42,9.58,0,0,unable to access data

54.793,0.76,1.38,9.64,0,0,unable to access data

54.824,0.64,1.29,9.83,0,0,unable to access data

54.856,0.64,1.25,9.77,0,0,unable to access data

54.888,0.68,1.44,9.72,0,0,unable to access data

54.923,0.53,1.68,9.6,0,0,unable to access data

54.956,0.53,1.53,10.02,0,0,unable to access data

54.994,0.45,1.33,9.6,0,0,unable to access data

55.025,0.45,1.25,9.03,0,0,unable to access data

55.058,0.99,1.61,9.72,0,0,unable to access data

55.09,0.76,1.57,10.57,0,0,unable to access data

55.121,0.61,1.44,9.87,0,0,unable to access data

55.153,0.72,1.53,9.41,0,0,unable to access data

55.184,0.91,1.63,9.6,0,0,unable to access data

55.216,0.95,1.61,9.68,0,0,unable to access data

55.248,0.8,1.68,9.68,0,0,unable to access data

55.279,0.61,1.8,9.15,0,0,unable to access data

55.311,1.06,1.23,9.58,0,0,unable to access data

55.344,1.14,1.29,9.64,0,0,unable to access data

55.378,0.57,1.63,9.81,0,0,unable to access data

55.413,0,2.03,9.72,0,0,unable to access data

55.451,0.61,1.29,9.83,0,0,unable to access data

55.489,0.87,2.1,9.15,0,0,unable to access data

55.52,0.64,2.1,8.88,0,0,unable to access data

55.552,0.11,1.29,9.07,0,0,unable to access data

55.583,0.11,1.38,9.15,0,0,unable to access data

55.615,0.22,0.83,9.72,0,0,unable to access data

55.647,-1.72,0.76,10.95,0,0,unable to access data

55.678,-3.13,0.83,9.96,0,0,unable to access data

55.71,-2.75,0.49,10,0,0,unable to access data

55.742,-3.36,0.34,10.38,0,0,unable to access data

55.773,-3.41,1.44,8.77,0,0,unable to access data

55.805,-3.55,1.99,8.69,0,0,unable to access data

55.837,-3.87,0.91,9.03,0,0,unable to access data

55.868,-3.68,0.49,8.42,0,0,unable to access data

55.9,-4.17,1.38,8.04,0,0,unable to access data

55.932,-3.98,0.41,8.42,0,0,unable to access data

55.963,-3.68,0.41,8.38,0,0,unable to access data

55.995,-4.4,0.3,8.54,0,0,unable to access data

56.027,-4.48,0.22,8,0,0,unable to access data

56.059,-4.7,-0.22,7.8,0,0,unable to access data

56.09,-5.09,-0.57,8.08,0,0,unable to access data

56.122,-6.05,-0.68,8.08,0,0,unable to access data

56.153,-8.8,-1.06,7.74,0,0,unable to access data

56.185,-9.77,-1.87,7.35,0,0,unable to access data

56.217,-8.92,-1.33,7.76,0,0,unable to access data

56.248,-8.8,-1.06,7.85,0,0,unable to access data

56.28,-8.27,-1.06,7.31,0,0,unable to access data

56.312,-7.65,-1.18,7.55,0,0,unable to access data

56.343,-6.74,-1.18,7.5,0,0,unable to access data

56.375,-6.24,-0.87,7.8,0,0,unable to access data

56.407,-6.09,-0.61,8.5,0,0,unable to access data

56.44,-5.67,-0.41,8.42,0,0,unable to access data

56.473,-4.74,-0.8,8.35,0,0,unable to access data

56.512,-3.94,-0.3,8.77,0,0,unable to access data

56.55,-3.45,-0.03,9.41,0,0,unable to access data

56.588,-2.75,0.57,8.38,0,0,unable to access data

56.619,-3.26,0.95,7.89,0,0,unable to access data

56.651,-3.21,0.99,8.5,0,0,unable to access data

56.683,-3.41,2.37,10.15,0,0,unable to access data

56.714,-3.21,2.06,9.58,0,0,unable to access data

56.746,-3.26,1.29,10,0,0,unable to access data

56.778,-2.75,1.68,10.11,0,0,unable to access data

56.809,-2.86,2.06,10.45,0,0,unable to access data

56.841,-2.86,2.14,10.22,0,0,unable to access data

56.873,-2.37,1.91,9.3,0,0,unable to access data

56.904,-2.29,2.25,8.61,0,0,unable to access data

56.936,-2.25,2.56,8.58,0,0,unable to access data

56.968,-2.37,2.94,9.19,0,0,unable to access data

56.999,-2.1,1.68,9.41,0,0,unable to access data

57.031,-3.32,1.53,9.49,0,0,unable to access data

57.063,-3.7,1.76,9.53,0,0,unable to access data

57.094,-2.9,2.03,9.6,0,0,unable to access data

57.126,-2.9,2.29,8.96,0,0,unable to access data

57.158,-2.83,2.29,8.69,0,0,unable to access data

57.189,-2.33,1.48,8.61,0,0,unable to access data

57.221,-2.1,1.42,8.99,0,0,unable to access data

57.253,-2.22,1.72,9.53,0,0,unable to access data

57.285,-1.72,1.53,9.34,0,0,unable to access data

57.316,-1.14,1.61,8.69,0,0,unable to access data

57.348,-1.06,1.8,8.46,0,0,unable to access data

57.38,-1.14,2.29,8.96,0,0,unable to access data

57.411,-1.1,2.1,8.73,0,0,unable to access data

57.443,-1.38,1.68,8.99,0,0,unable to access data

57.475,-1.48,1.76,9.81,0,0,unable to access data

57.506,-1.48,2.06,9.92,0,0,unable to access data

57.54,-1.84,2.03,9.34,0,0,unable to access data

57.572,-1.8,1.53,9.38,0,0,unable to access data

57.61,-1.91,1.44,10.53,0,0,unable to access data

57.643,-2.18,1.18,11.03,0,0,unable to access data

57.678,-2.33,0.53,10.38,0,0,unable to access data

57.709,-2.75,0.34,9.92,0,0,unable to access data

57.741,-2.64,0.41,9.41,0,0,unable to access data

57.773,-2.41,0.45,9.41,0,0,unable to access data

57.805,-2.41,0.45,9.45,0,0,unable to access data

57.836,-2.41,0.26,9.19,0,0,unable to access data

57.868,-2.45,0.11,9.03,0,0,unable to access data

57.9,-2.6,0.34,9.03,0,0,unable to access data

57.931,-2.75,0.64,9.38,0,0,unable to access data

57.963,-2.56,0.64,9.49,0,0,unable to access data

57.994,-2.48,0.53,9.83,0,0,unable to access data

58.026,-2.25,0.57,9.96,0,0,unable to access data

58.058,-2.22,0.19,9.58,0,0,unable to access data

58.089,-2.25,0.22,9.53,0,0,unable to access data

58.121,-2.25,0.38,9.64,0,0,unable to access data

58.153,-2.37,0.49,9.53,0,0,unable to access data

58.184,-2.52,0.57,9.53,0,0,unable to access data

58.216,-2.94,0.83,9.83,0,0,unable to access data

58.247,-2.98,0.95,9.68,0,0,unable to access data

58.279,-2.75,1.1,9.3,0,0,unable to access data

58.311,-2.41,1.25,9.34,0,0,unable to access data

58.343,-1.87,1.63,9.6,0,0,unable to access data

58.374,-1.29,1.99,10.11,0,0,unable to access data

58.406,-1.57,2.29,10.64,0,0,unable to access data

58.438,-0.87,2.25,10.22,0,0,unable to access data

58.469,-0.22,2.52,10.15,0,0,unable to access data

58.501,0.76,1.99,9.96,0,0,unable to access data

58.533,2.45,1.99,10.53,0,0,unable to access data

58.564,2.41,2.06,10.61,0,0,unable to access data

58.596,2.14,1.72,9.49,0,0,unable to access data

58.629,3.47,1.14,8.54,0,0,unable to access data

58.662,3.21,1.72,8.16,0,0,unable to access data

58.7,3.94,1.68,8.38,0,0,unable to access data

58.738,4.51,1.91,8.73,0,0,unable to access data

58.772,4.21,1.87,8.88,0,0,unable to access data

58.804,4.17,1.57,8.69,0,0,unable to access data

58.836,3.83,1.48,8.69,0,0,unable to access data

58.868,3.7,1.38,8.84,0,0,unable to access data

58.899,3.21,1.38,8.84,0,0,unable to access data

58.931,2.6,1.42,8.8,0,0,unable to access data

58.963,2.6,1.38,8.84,0,0,unable to access data

58.994,2.6,1.48,9.03,0,0,unable to access data

59.026,2.52,1.63,8.92,0,0,unable to access data

59.057,2.64,1.57,8.73,0,0,unable to access data

59.089,2.45,1.72,8.88,0,0,unable to access data

59.121,2.33,1.84,8.92,0,0,unable to access data

59.152,2.25,1.84,8.88,0,0,unable to access data

59.184,2.1,1.99,9.26,0,0,unable to access data

59.215,1.95,2.06,9.53,0,0,unable to access data

59.247,1.63,2.14,9.45,0,0,unable to access data

59.279,1.53,2.25,9.72,0,0,unable to access data

59.31,1.33,2.45,10.22,0,0,unable to access data

59.342,1.02,2.52,10.45,0,0,unable to access data

59.373,0.91,2.48,10.38,0,0,unable to access data

59.405,0.8,2.41,10.02,0,0,unable to access data

59.443,0.83,2.29,9.96,0,0,unable to access data

59.482,0.64,2.45,10.07,0,0,unable to access data

59.514,0.61,2.33,10.3,0,0,unable to access data

59.546,0.68,2.14,10.19,0,0,unable to access data

59.577,0.61,1.91,9.83,0,0,unable to access data

59.609,0.61,1.84,10.02,0,0,unable to access data

59.64,0.57,1.91,10.22,0,0,unable to access data

59.672,0.57,1.8,9.87,0,0,unable to access data

59.712,0.53,1.63,9.6,0,0,unable to access data

59.744,0.53,1.63,9.81,0,0,unable to access data

59.777,0.64,1.63,10.02,0,0,unable to access data

59.813,0.53,1.48,9.81,0,0,unable to access data

59.851,0.45,1.68,9.72,0,0,unable to access data

59.889,0.45,1.63,9.77,0,0,unable to access data

59.92,0.53,1.68,9.77,0,0,unable to access data

59.952,0.26,1.72,9.45,0,0,unable to access data

59.984,0.11,1.8,9.38,0,0,unable to access data

60.022,0.22,1.84,9.77,0,0,unable to access data

60.054,0.03,1.95,9.83,0,0,unable to access data

60.086,-0.15,1.95,9.64,0,0,unable to access data

60.117,-0.15,1.91,9.6,0,0,unable to access data

60.149,0.11,1.87,9.81,0,0,unable to access data

60.181,0.07,1.91,10,0,0,unable to access data

60.212,-0.11,1.95,9.87,0,0,unable to access data

60.244,-0.11,1.87,9.87,0,0,unable to access data

60.276,0.03,1.8,10.02,0,0,unable to access data

60.307,0.07,1.76,10.11,0,0,unable to access data

60.339,0.11,1.68,10.02,0,0,unable to access data

60.371,0.03,1.48,9.68,0,0,unable to access data

60.402,-0.03,1.48,9.53,0,0,unable to access data

60.434,-0.03,1.48,9.3,0,0,unable to access data

60.466,-0.07,1.29,9.03,0,0,unable to access data

60.497,-0.34,1.48,8.99,0,0,unable to access data

60.529,-0.41,1.57,9.19,0,0,unable to access data

60.56,-0.45,1.61,9.58,0,0,unable to access data

