time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata

52.579,0.34,3.37,9.03,0,0,unable to access data

52.609,0.11,3.1,8.92,0,0,unable to access data

52.64,0.15,3.18,9.23,0,0,unable to access data

52.671,0.34,3.18,9.15,0,0,unable to access data

52.701,0.42,3.25,9.03,0,0,unable to access data

52.732,0.27,3.1,9.03,0,0,unable to access data

52.762,0.19,3.06,9.26,0,0,unable to access data

52.792,0.11,2.95,9.11,0,0,unable to access data

52.823,0.11,3.06,9.07,0,0,unable to access data

52.853,0.31,3.06,9.3,0,0,unable to access data

52.884,0.73,3.14,9.65,0,0,unable to access data

52.914,0.8,3.14,9.42,0,0,unable to access data

52.945,0.84,3.1,9.23,0,0,unable to access data

52.975,1.15,3.14,9.49,0,0,unable to access data

53.006,1.07,3.02,9.53,0,0,unable to access data

53.036,0.69,2.72,9.38,0,0,unable to access data

53.067,0.42,2.68,9.19,0,0,unable to access data

53.097,0.31,2.53,9.26,0,0,unable to access data

53.128,0.08,2.34,9.03,0,0,unable to access data

53.158,-0.19,2.49,8.65,0,0,unable to access data

53.189,-0.34,2.49,9.03,0,0,unable to access data

53.219,-0.42,2.53,9.38,0,0,unable to access data

53.25,-0.54,2.53,9.34,0,0,unable to access data

53.28,-0.61,2.6,9.26,0,0,unable to access data

53.311,-0.46,2.49,9.69,0,0,unable to access data

53.341,-0.19,2.34,10.03,0,0,unable to access data

53.372,-0.08,2.34,10.07,0,0,unable to access data

53.402,-0.19,2.34,9.46,0,0,unable to access data

53.433,-0.08,2.49,9.26,0,0,unable to access data

53.464,0.11,2.64,9.19,0,0,unable to access data

53.494,0.11,2.45,9.26,0,0,unable to access data

53.525,0.08,2.37,9.23,0,0,unable to access data

53.555,0.15,2.37,9.23,0,0,unable to access data

53.586,0.15,2.37,9.49,0,0,unable to access data

53.616,0.11,2.3,9.61,0,0,unable to access data

53.647,0.08,2.34,9.42,0,0,unable to access data

53.677,0.11,2.41,9.34,0,0,unable to access data

53.708,0.11,2.37,9.42,0,0,unable to access data

53.738,0.15,2.37,9.42,0,0,unable to access data

53.769,0.19,2.41,9.46,0,0,unable to access data

53.799,0.19,2.41,9.46,0,0,unable to access data

53.83,0.15,2.37,9.42,0,0,unable to access data

53.86,0.11,2.3,9.53,0,0,unable to access data

53.891,0.15,2.34,9.57,0,0,unable to access data

53.921,0.27,2.41,9.61,0,0,unable to access data

53.952,0.23,2.37,9.57,0,0,unable to access data

53.982,0.19,2.26,9.49,0,0,unable to access data

54.013,0.27,2.37,9.49,0,0,unable to access data

54.043,0.34,2.41,9.49,0,0,unable to access data

54.074,0.54,2.45,9.34,0,0,unable to access data

54.105,0.42,2.45,8.73,0,0,unable to access data

54.135,0.15,2.07,8.92,0,0,unable to access data

54.166,0.11,1.95,9.46,0,0,unable to access data

54.196,0.04,1.95,9.34,0,0,unable to access data

54.227,0.04,2.07,9.42,0,0,unable to access data

54.258,0.19,2.22,9.8,0,0,unable to access data

54.288,0.23,2.3,9.84,0,0,unable to access data

54.319,0,2.11,9.69,0,0,unable to access data

54.351,0,2.03,9.8,0,0,unable to access data

54.39,-0.04,2.11,9.38,0,0,unable to access data

54.421,-0.04,2.03,9.26,0,0,unable to access data

54.452,0.08,2.07,9.46,0,0,unable to access data

54.482,0.15,2.11,9.69,0,0,unable to access data

54.513,0.08,2.03,9.61,0,0,unable to access data

54.544,0.11,1.99,9.65,0,0,unable to access data

54.574,0.23,1.99,9.84,0,0,unable to access data

54.605,0.15,1.88,9.8,0,0,unable to access data

54.635,0.04,1.88,9.57,0,0,unable to access data

54.666,-0.08,1.91,9.38,0,0,unable to access data

54.696,-0.19,1.99,9.19,0,0,unable to access data

54.727,-0.31,1.99,9.26,0,0,unable to access data

54.758,-0.46,1.88,9.3,0,0,unable to access data

54.788,-0.46,1.88,9.46,0,0,unable to access data

54.819,-0.31,1.88,9.69,0,0,unable to access data

54.849,-0.15,1.91,9.88,0,0,unable to access data

54.88,-0.15,1.84,9.69,0,0,unable to access data

54.911,0,2.07,9.49,0,0,unable to access data

54.941,0.11,2.14,9.61,0,0,unable to access data

54.972,0.04,2.3,9.03,0,0,unable to access data

55.002,0.42,2.76,8.96,0,0,unable to access data

55.033,0.42,2.3,9.34,0,0,unable to access data

55.064,0.54,1.8,9.46,0,0,unable to access data

55.094,1,1.88,9.88,0,0,unable to access data

55.125,0.84,1.84,10.03,0,0,unable to access data

55.155,0.88,1.88,9.88,0,0,unable to access data

55.186,0.69,1.76,9.72,0,0,unable to access data

55.217,0.57,1.57,10.03,0,0,unable to access data

55.247,0.5,1.53,9.53,0,0,unable to access data

55.278,0.5,1.53,9.15,0,0,unable to access data

55.309,0.73,1.57,9.42,0,0,unable to access data

55.339,0.65,1.45,9.95,0,0,unable to access data

55.37,0.65,1.34,9.76,0,0,unable to access data

55.4,0.8,1.11,9.23,0,0,unable to access data

55.431,0.8,1.42,9.69,0,0,unable to access data

55.461,0.69,1.61,9.72,0,0,unable to access data

55.492,0.46,1.57,9.38,0,0,unable to access data

55.523,0.42,1.72,9.26,0,0,unable to access data

55.553,0.42,1.8,9.49,0,0,unable to access data

55.584,0.42,1.84,9.53,0,0,unable to access data

55.615,0.38,1.8,9.49,0,0,unable to access data

55.645,0.38,1.88,9.49,0,0,unable to access data

55.676,0.57,1.84,9.61,0,0,unable to access data

55.706,0.65,1.72,9.72,0,0,unable to access data

55.737,0.57,1.68,9.61,0,0,unable to access data

55.768,0.46,1.84,9.34,0,0,unable to access data

55.798,0.34,2.07,9.19,0,0,unable to access data

55.829,0.15,2.07,9.15,0,0,unable to access data

55.859,0.23,1.91,9.34,0,0,unable to access data

55.89,0.54,1.95,9.65,0,0,unable to access data

55.92,0.77,2.07,9.91,0,0,unable to access data

55.951,0.96,2.03,10.07,0,0,unable to access data

55.982,1,1.99,9.8,0,0,unable to access data

56.012,0.8,2.03,9.53,0,0,unable to access data

56.043,0.73,1.95,9.46,0,0,unable to access data

56.073,0.69,2.03,9.38,0,0,unable to access data

56.104,0.57,2.03,9.26,0,0,unable to access data

56.135,0.42,1.88,9.38,0,0,unable to access data

56.165,0.34,1.84,9.42,0,0,unable to access data

56.196,0.31,1.84,9.46,0,0,unable to access data

56.226,0.31,1.88,9.53,0,0,unable to access data

56.257,0.31,2.07,9.46,0,0,unable to access data

56.287,0.31,2.22,9.46,0,0,unable to access data

56.318,0.42,2.18,9.38,0,0,unable to access data

56.349,0.77,1.99,9.61,0,0,unable to access data

56.379,0.65,1.8,9.61,0,0,unable to access data

56.41,0.77,1.95,9.88,0,0,unable to access data

56.441,0.69,1.53,9.42,0,0,unable to access data

56.471,0.61,1.49,9.46,0,0,unable to access data

56.502,0.65,1.42,9.84,0,0,unable to access data

56.532,0.73,1.57,9.76,0,0,unable to access data

56.563,1.03,1.45,9.8,0,0,unable to access data

56.593,1.03,1.42,9.72,0,0,unable to access data

56.624,1.23,2.03,9.76,0,0,unable to access data

56.655,1.3,1.84,9.76,0,0,unable to access data

56.685,1.26,1.8,9.53,0,0,unable to access data

56.716,1.19,1.68,9.19,0,0,unable to access data

56.746,0.92,1.76,9.15,0,0,unable to access data

56.777,1,1.72,9.69,0,0,unable to access data

56.807,1.15,1.61,9.84,0,0,unable to access data

56.838,0.77,1.42,9.72,0,0,unable to access data

56.869,0.34,1.65,9.34,0,0,unable to access data

56.899,0.15,2.07,9.38,0,0,unable to access data

56.93,-0.19,2.07,9.57,0,0,unable to access data

56.96,-0.08,1.42,9.38,0,0,unable to access data

56.991,-0.23,1.68,9.26,0,0,unable to access data

57.022,-0.31,1.68,9.57,0,0,unable to access data

57.052,-0.19,1.45,9.57,0,0,unable to access data

