time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata,

52.801,-0.46,1.38,8.58,0,0,28.63125571,77.36352738

52.82,-1.23,1.99,10.11,0,0,28.63125571,77.36352738

52.839,-1.69,1.84,9.96,0,0,28.63125571,77.36352738

52.858,-1.69,1.84,9.96,0,0,28.63125571,77.36352738

52.879,-1.07,1.99,9.65,0,0,28.63125571,77.36352738

52.898,-1.07,1.99,9.65,0,0,28.63125571,77.36352738

52.918,-0.92,1.53,9.35,0,0,28.63125571,77.36352738

52.938,-1.07,1.23,8.89,0,0,28.63125571,77.36352738

52.958,-1.07,1.23,8.89,0,0,28.63125571,77.36352738

52.978,-1.69,0.77,9.19,0,0,28.63125571,77.36352738

52.998,-1.69,0.77,9.19,0,0,28.63125571,77.36352738

53.018,-1.07,0.77,9.04,0,0,28.63125571,77.36352738

53.044,-1.07,1.07,8.89,0,0,28.63125571,77.36352738

53.062,-1.07,1.07,8.89,0,0,28.63125571,77.36352738

53.08,-0.92,0.77,9.5,0,0,28.63125571,77.36352738

53.099,-1.07,0.77,9.96,0,0,28.63125571,77.36352738

53.119,-1.07,0.77,9.96,0,0,28.63125571,77.36352738

53.138,-0.92,0.92,9.65,0,0,28.63125571,77.36352738

53.158,-0.92,0.92,9.65,0,0,28.63125571,77.36352738

53.178,-0.77,0.92,9.35,0,0,28.63125571,77.36352738

53.198,-0.92,0.77,9.5,0,0,28.63125571,77.36352738

53.218,-0.92,0.77,9.5,0,0,28.63125571,77.36352738

53.238,-0.92,0.92,9.96,0,0,28.63125571,77.36352738

53.258,-0.61,0.77,9.65,0,0,28.63125571,77.36352738

53.278,-0.61,0.77,9.65,0,0,28.63125571,77.36352738

53.298,-0.31,0.31,9.35,0,0,28.63125571,77.36352738

53.318,-0.31,0.31,9.35,0,0,28.63125571,77.36352738

53.338,-0.61,0.61,9.81,0,0,28.63125571,77.36352738

53.358,-0.46,0.61,9.35,0,0,28.63125571,77.36352738

53.378,-0.46,0.61,9.35,0,0,28.63125571,77.36352738

53.398,-0.46,0.92,8.73,0,0,28.63125571,77.36352738

53.418,-0.46,0.92,8.73,0,0,28.63125571,77.36352738

53.438,-0.15,0.77,9.04,0,0,28.63125571,77.36352738

53.459,0.31,0.92,9.19,0,0,28.63125571,77.36352738

53.478,0.31,0.92,9.19,0,0,28.63125571,77.36352738

53.498,0.61,1.53,8.89,0,0,28.63125571,77.36352738

53.523,0.31,1.53,8.89,0,0,28.63125571,77.36352738

53.541,0.31,1.53,8.89,0,0,28.63125571,77.36352738

53.562,0.31,1.53,9.19,0,0,28.63125571,77.36352738

53.58,0.46,1.69,8.89,0,0,28.63125571,77.36352738

53.601,0.46,1.69,8.89,0,0,28.63125571,77.36352738

53.621,0.61,1.84,9.19,0,0,28.63125571,77.36352738

53.638,0.61,1.84,9.19,0,0,28.63125571,77.36352738

53.658,0.61,1.38,9.04,0,0,28.63125571,77.36352738

53.678,0.46,1.69,9.5,0,0,28.63125571,77.36352738

53.707,0.46,1.69,9.5,0,0,28.63125571,77.36352738

53.722,0.31,1.69,9.35,0,0,28.63125571,77.36352738

53.744,0.46,1.53,9.04,0,0,28.63125571,77.36352738

53.76,0.46,1.53,9.04,0,0,28.63125571,77.36352738

53.778,0.31,1.53,9.5,0,0,28.63125571,77.36352738

53.798,0.31,1.53,9.5,0,0,28.63125571,77.36352738

53.818,0.31,1.23,9.81,0,0,28.63125571,77.36352738

53.838,0.31,1.23,9.35,0,0,28.63125571,77.36352738

53.858,0.31,1.23,9.35,0,0,28.63125571,77.36352738

53.878,0.46,1.23,8.58,0,0,28.63125571,77.36352738

53.898,0.46,1.23,8.58,0,0,28.63125571,77.36352738

53.918,0.15,1.07,9.19,0,0,28.63125571,77.36352738

53.938,0.46,1.07,9.5,0,0,28.63125571,77.36352738

53.958,0.46,1.07,9.5,0,0,28.63125571,77.36352738

53.978,0.46,0.92,9.5,0,0,28.63125571,77.36352738

53.998,0.46,0.77,9.5,0,0,28.63125571,77.36352738

54.018,0.31,0.77,9.5,0,0,28.63125571,77.36352738

54.038,0.31,0.61,9.5,0,0,28.63125571,77.36352738

54.058,0.31,0.61,9.5,0,0,28.63125571,77.36352738

54.078,0.46,0.61,9.35,0,0,28.63125571,77.36352738

54.098,0.77,0.61,9.04,0,0,28.63125571,77.36352738

54.118,0.77,0.61,9.04,0,0,28.63125571,77.36352738

54.138,1.23,0.46,9.04,0,0,28.63125571,77.36352738

54.158,1.23,0.46,9.04,0,0,28.63125571,77.36352738

54.178,0.92,0.46,9.81,0,0,28.63125571,77.36352738

54.198,0.77,0.61,10.27,0,0,28.63125571,77.36352738

54.218,0.77,0.61,10.27,0,0,28.63125571,77.36352738

54.238,1.07,0.46,8.89,0,0,28.63125571,77.36352738

54.28,0.77,0.31,9.04,0,0,28.63125571,77.36352738

54.298,0.15,0.31,9.81,0,0,28.63125571,77.36352738

54.319,0.15,0.31,9.81,0,0,28.63125571,77.36352738

54.338,0.46,0.61,9.04,0,0,28.63125571,77.36352738

54.358,0.46,0.46,8.73,0,0,28.63125571,77.36352738

54.381,0.46,0.46,8.73,0,0,28.63125571,77.36352738

54.398,-0.15,0.15,9.35,0,0,28.63125571,77.36352738

54.418,-0.31,0.15,9.65,0,0,28.63125571,77.36352738

54.45,-0.31,0.15,9.65,0,0,28.63125571,77.36352738

54.481,-0.31,0.15,9.65,0,0,28.63125571,77.36352738

54.507,-0.15,0.31,9.65,0,0,28.63125571,77.36352738

54.527,-0.31,0.46,9.65,0,0,28.63125571,77.36352738

54.548,-0.15,0.46,8.89,0,0,28.63125571,77.36352738

54.568,-0.15,0.46,8.89,0,0,28.63125571,77.36352738

54.585,-0.31,0.61,9.19,0,0,28.63125571,77.36352738

54.6,-0.31,0.61,9.19,0,0,28.63125571,77.36352738

54.621,-0.15,0.77,9.19,0,0,28.63125571,77.36352738

54.639,-0.15,0.77,9.19,0,0,28.63125571,77.36352738

54.659,-0.46,0.77,9.19,0,0,28.63125571,77.36352738

54.678,-0.46,0.92,8.73,0,0,28.63125571,77.36352738

54.698,-0.46,0.92,8.73,0,0,28.63125571,77.36352738

54.718,-0.31,0.92,8.73,0,0,28.63125571,77.36352738

54.738,-0.31,0.92,8.73,0,0,28.63125571,77.36352738

54.759,-0.31,0.61,9.35,0,0,28.63125571,77.36352738

54.778,-0.46,0.46,9.04,0,0,28.63125571,77.36352738

54.798,-0.46,0.46,9.04,0,0,28.63125571,77.36352738

54.818,-0.46,0.92,9.04,0,0,28.63125571,77.36352738

54.838,0.61,0.77,9.5,0,0,28.63125571,77.36352738

54.858,0.61,0.77,9.5,0,0,28.63125571,77.36352738

54.878,-0.31,0.15,10.42,0,0,28.63125571,77.36352738

54.899,-0.31,0.15,10.42,0,0,28.63125571,77.36352738

54.918,-0.15,0.61,10.42,0,0,28.63125571,77.36352738

54.938,0.15,0.61,9.5,0,0,28.63125571,77.36352738

54.958,0.15,0.61,9.5,0,0,28.63125571,77.36352738

54.978,0.15,0.46,9.65,0,0,28.63125571,77.36352738

