time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata,

44.46,-3.22,3.22,8.89,0,0,28.63445897,77.36615285

44.52,-3.22,3.22,8.73,0,0,28.63445897,77.36615285

44.58,-3.06,3.06,8.58,0,0,28.63445897,77.36615285

44.64,-3.22,3.06,8.89,0,0,28.63445897,77.36615285

44.7,-3.06,3.06,8.73,0,0,28.63445897,77.36615285

44.76,-3.06,3.37,8.73,0,0,28.63445897,77.36615285

44.822,-3.06,3.06,8.73,0,0,28.63445897,77.36615285

44.88,-3.22,3.06,8.58,0,0,28.63445897,77.36615285

44.941,-3.06,3.22,8.73,0,0,28.63445897,77.36615285

45.001,-3.06,3.22,8.73,0,0,28.63445897,77.36615285

45.06,-3.06,2.91,8.73,0,0,28.63445897,77.36615285

45.121,-3.22,3.22,8.73,0,0,28.63445897,77.36615285

45.181,-3.22,3.06,8.89,0,0,28.63445897,77.36615285

45.24,-3.06,2.91,8.73,0,0,28.63445897,77.36615285

45.301,-3.06,3.06,8.73,0,0,28.63445897,77.36615285

45.36,-3.06,3.06,8.73,0,0,28.63445897,77.36615285

45.42,-3.06,3.22,8.89,0,0,28.63445897,77.36615285

45.48,-3.06,2.91,8.73,0,0,28.63445897,77.36615285

45.543,-2.91,3.06,8.58,0,0,28.63445897,77.36615285

45.602,-3.22,3.22,8.73,0,0,28.63445897,77.36615285

45.661,-3.06,3.06,8.73,0,0,28.63445897,77.36615285

45.721,-3.06,2.91,8.89,0,0,28.63445897,77.36615285

45.781,-3.22,3.06,8.89,0,0,28.63445897,77.36615285

45.84,-3.22,3.06,8.89,0,0,28.63445897,77.36615285

45.901,-3.37,2.91,8.73,0,0,28.63445897,77.36615285

45.961,-3.06,3.22,8.73,0,0,28.63445897,77.36615285

46.02,-3.06,3.06,8.73,0,0,28.63445897,77.36615285

46.083,-3.06,3.22,8.73,0,0,28.63445897,77.36615285

46.141,-3.22,3.37,8.73,0,0,28.63445897,77.36615285

46.201,-3.06,3.22,8.58,0,0,28.63445897,77.36615285

46.26,-3.06,2.91,9.04,0,0,28.63445897,77.36615285

46.32,-3.06,2.91,8.73,0,0,28.63445897,77.36615285

46.38,-2.91,3.06,8.73,0,0,28.63445897,77.36615285

46.44,-3.37,3.22,8.73,0,0,28.63445897,77.36615285

46.5,-2.91,3.22,8.73,0,0,28.63445897,77.36615285

46.561,-2.76,3.06,8.89,0,0,28.63445897,77.36615285

46.62,-3.06,3.22,8.73,0,0,28.63445897,77.36615285

46.68,-3.06,3.22,8.73,0,0,28.63445897,77.36615285

46.74,-3.22,3.22,8.73,0,0,28.63445897,77.36615285

46.803,-3.37,3.22,8.73,0,0,28.63445897,77.36615285

