time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata,

28.975,-0.46,2.3,9.19,0,0,28.62731208,77.36465794

28.995,-0.31,2.3,9.04,0,0,28.62731208,77.36465794

29.015,-0.31,2.3,9.04,0,0,28.62731208,77.36465794

29.032,-0.46,2.45,9.04,0,0,28.62731208,77.36465794

29.052,-0.46,2.45,9.04,0,0,28.62731208,77.36465794

29.072,-0.31,2.3,9.04,0,0,28.62731208,77.36465794

29.092,-0.46,2.3,9.19,0,0,28.62731208,77.36465794

29.112,-0.46,2.3,9.19,0,0,28.62731208,77.36465794

29.132,-0.46,2.15,9.35,0,0,28.62731208,77.36465794

29.155,-0.46,2.15,9.19,0,0,28.62731208,77.36465794

29.173,-0.46,2.15,9.19,0,0,28.62731208,77.36465794

29.192,-0.61,2.6,9.5,0,0,28.62731208,77.36465794

29.212,-0.61,2.6,9.5,0,0,28.62731208,77.36465794

29.248,-0.31,2.45,9.04,0,0,28.62731208,77.36465794

29.274,-0.61,2.3,9.5,0,0,28.62731208,77.36465794

29.296,-0.77,1.84,9.81,0,0,28.62731208,77.36465794

29.315,0.46,2.15,8.73,0,0,28.62731208,77.36465794

29.332,0.46,2.15,8.73,0,0,28.62731208,77.36465794

29.352,0.61,1.53,9.04,0,0,28.62731208,77.36465794

29.372,0.61,1.53,9.04,0,0,28.62731208,77.36465794

29.392,0.77,0.92,9.04,0,0,28.62731208,77.36465794

29.412,0.77,0.77,9.35,0,0,28.62731208,77.36465794

29.432,0.77,0.77,9.35,0,0,28.62731208,77.36465794

29.452,1.38,1.23,8.43,0,0,28.62731208,77.36465794

29.472,1.38,1.23,8.43,0,0,28.62731208,77.36465794

29.492,1.38,1.23,8.73,0,0,28.62731208,77.36465794

29.512,0.77,0.61,9.65,0,0,28.62731208,77.36465794

29.532,0.77,0.61,9.65,0,0,28.62731208,77.36465794

29.552,1.07,1.38,9.04,0,0,28.62731208,77.36465794

29.572,0.77,1.38,9.5,0,0,28.62731208,77.36465794

29.592,0.77,1.38,9.5,0,0,28.62731208,77.36465794

29.612,0.92,1.07,9.5,0,0,28.62731208,77.36465794

29.632,0.92,1.07,9.5,0,0,28.62731208,77.36465794

29.652,0.46,1.69,9.5,0,0,28.62731208,77.36465794

29.672,0.92,1.99,8.58,0,0,28.62731208,77.36465794

29.692,0.92,1.99,8.58,0,0,28.62731208,77.36465794

29.712,0.46,1.38,8.73,0,0,28.62731208,77.36465794

29.732,0.46,1.38,8.73,0,0,28.62731208,77.36465794

29.752,0.46,1.07,9.65,0,0,28.62731208,77.36465794

29.772,0.77,1.07,9.04,0,0,28.62731208,77.36465794

29.792,0.77,1.07,9.04,0,0,28.62731208,77.36465794

29.812,1.07,1.07,9.19,0,0,28.62731208,77.36465794

29.832,1.38,1.07,9.35,0,0,28.62731208,77.36465794

