time,x-axis,y-axis,z-axis,Speedbreaker,Pothole
25.674,1.38,3.37,8.89,0,0
25.734,1.53,3.06,8.12,0,0
25.794,1.07,3.06,9.19,0,0
25.854,1.07,3.37,8.43,0,0
25.914,1.07,3.06,8.58,0,0
25.974,1.07,3.22,8.89,0,0
26.034,0.92,3.22,8.73,0,0
26.094,0.92,3.37,8.89,0,0
26.154,0.92,3.22,8.58,0,0
26.214,1.07,3.37,8.73,0,0
26.274,1.07,3.06,8.58,0,0
26.334,1.07,3.22,8.58,0,0
26.395,1.07,3.22,8.73,0,0
26.454,0.92,3.22,8.58,0,0
26.514,1.07,3.37,8.73,0,0
26.574,0.92,3.22,8.73,0,0
26.634,1.07,3.37,8.43,0,0
26.694,0.92,3.22,8.58,0,0
26.755,1.07,3.37,8.58,0,0
26.814,0.77,3.52,8.73,0,0
26.874,0.77,3.52,8.73,0,0
26.934,0.92,3.83,8.73,0,0
26.994,0.77,4.14,8.73,0,0
27.054,0.92,4.29,8.73,0,0
27.114,1.07,4.6,8.43,0,0
27.174,1.23,4.6,8.58,0,0
27.234,1.38,4.44,8.27,0,0
27.294,0.61,4.75,8.73,0,0
27.355,0.61,4.44,8.43,0,0
27.414,0.15,4.6,7.51,0,0
27.476,0.77,3.98,7.51,0,0
27.534,0.77,4.9,7.81,0,0
27.594,0.92,4.9,7.51,0,0
27.654,1.23,4.29,7.2,0,0
27.714,1.69,3.83,6.59,0,0
27.774,1.99,3.83,6.9,0,0
27.842,2.6,2.91,7.81,0,0
27.894,1.99,3.22,7.66,0,0
27.954,-0.15,3.52,8.73,0,0
28.014,0.46,4.75,7.97,0,0
28.079,-0.46,5.67,6.44,0,0
28.134,-1.84,3.22,8.89,0,0
28.195,-1.53,3.06,7.05,0,0
28.254,-3.22,3.37,9.65,0,0
28.32,-2.45,3.06,9.35,0,0
28.39,-3.22,2.6,9.65,0,0
28.494,-3.52,3.06,10.27,0,0
28.554,-3.22,1.99,8.89,0,0
28.614,-3.68,1.99,9.81,0,0
28.674,-2.3,2.76,9.19,0,0
28.734,-2.3,2.3,11.03,0,0
28.794,-1.69,1.53,9.65,0,0
28.856,-2.6,0.46,10.27,0,0
28.914,-2.45,0.92,8.58,0,0
28.974,-3.83,1.23,8.27,0,0
29.034,-2.91,2.91,8.12,0,0
29.094,-1.99,2.3,8.43,0,0
29.154,-1.69,2.91,8.27,0,0
29.214,-0.92,2.6,9.19,0,0
29.274,-1.07,2.45,9.19,0,0
29.334,-0.46,2.45,9.04,0,0
29.394,-0.61,2.45,9.04,0,0
29.454,-0.31,2.76,8.12,0,0
29.514,-0.31,3.06,9.65,0,0
29.574,-0.15,2.91,8.12,0,0
29.64,-0.46,2.76,9.19,0,0
29.694,-0.77,2.3,8.27,0,0
29.754,-0.46,2.76,8.89,0,0
29.814,-0.77,2.45,8.43,0,0
29.874,-0.92,2.6,8.89,0,0
29.934,-1.23,2.6,8.73,0,0
29.994,-1.53,2.6,9.65,0,0
30.054,-1.69,2.45,8.43,0,0
30.114,-2.15,2.45,9.04,0,0
30.174,-2.15,2.76,8.43,0,0
30.234,-2.6,2.45,9.04,0,0
30.294,-2.91,2.76,8.58,0,0
30.359,-3.06,2.76,8.12,0,0
30.414,-3.83,2.91,7.97,0,0
30.474,-3.83,3.37,9.19,0,0
30.534,-3.83,2.76,9.04,0,0
30.594,-3.68,2.91,8.73,0,0
30.654,-4.14,3.22,8.27,0,0
30.714,-4.44,2.3,8.12,0,0
30.774,-4.6,3.37,7.66,0,0
30.841,-3.68,4.9,7.66,0,0
30.894,-5.21,2.6,7.2,0,0
30.954,-5.52,3.37,8.12,0,0
31.014,-5.36,3.06,8.12,0,0
31.074,-4.9,1.23,7.81,0,0
31.134,-5.52,1.23,8.27,0,0
31.194,-5.06,0.77,9.19,0,0
31.254,-3.83,0.46,7.97,0,0
31.314,-3.52,-0.77,8.27,0,0
31.374,-0.92,1.53,8.58,0,0
31.434,-1.99,0.92,9.81,0,0
31.494,-3.37,2.76,8.43,0,0
31.556,-4.44,1.07,9.96,0,0
31.614,-3.37,2.15,9.04,0,0
31.674,-4.14,1.23,9.19,0,0
31.734,-2.45,1.99,8.12,0,0
31.794,-3.22,1.07,7.81,0,0
31.854,-2.91,0.15,9.04,0,0
31.914,-3.22,0.77,8.58,0,0
31.974,-3.98,0.31,9.96,0,0
32.034,-3.83,0.61,7.97,0,0
32.094,-5.36,0.61,11.19,0,0
32.156,-4.14,0.61,8.89,0,0
32.214,-3.22,-0.31,7.97,0,0
32.274,-4.29,-0.92,8.89,0,0
32.339,-4.14,-0.31,10.73,0,0
32.394,-4.29,0.15,8.89,0,0
32.454,-4.9,0.15,9.04,0,0
32.514,-4.29,0.92,7.66,0,0
32.574,-4.29,0.31,6.9,0,0
32.634,-4.6,2.6,9.65,0,0
32.694,-4.44,3.37,8.73,0,0
32.754,-4.29,1.53,8.58,0,0
32.814,-4.14,1.69,8.58,0,0
32.875,-3.98,1.99,8.73,0,0
32.934,-3.06,1.69,8.73,0,0
32.994,-1.99,1.69,9.5,0,0
33.054,-1.38,1.07,7.05,0,0
33.119,0.15,0.61,3.68,0,0
33.175,1.07,2.15,11.03,0,0
33.234,1.38,2.3,9.96,0,0
33.294,1.07,1.69,9.35,0,0
33.354,0.92,1.69,9.19,0,0
33.414,0.92,1.69,9.19,0,0
33.474,0.92,1.69,9.19,0,0
33.534,1.07,1.69,9.19,0,0
33.594,0.92,1.69,9.19,0,0
33.654,0.92,1.69,9.19,0,0
33.714,0.92,1.69,9.19,0,0
33.774,0.92,1.69,9.19,0,0
33.842,0.92,1.69,9.19,0,0
33.9,1.07,1.69,9.19,0,0
33.954,0.92,1.69,9.19,0,0
34.014,0.92,1.69,9.19,0,0
34.074,1.07,1.69,9.19,0,0
34.134,1.07,1.69,9.19,0,0
34.194,0.92,1.69,9.19,0,0
34.254,0.92,1.69,9.19,0,0
34.314,0.92,1.53,9.19,0,0
34.38,0.92,1.69,9.35,0,0
34.434,0.92,1.07,9.35,0,0
34.494,1.23,1.53,9.04,0,0
34.554,0.77,1.69,9.19,0,0
34.614,0.92,1.69,9.19,0,0
34.674,0.92,1.69,9.19,0,0
34.741,0.92,1.69,9.19,0,0
34.794,0.92,1.69,9.19,0,0
34.854,0.92,1.69,9.19,0,0
34.914,0.92,1.69,9.19,0,0
34.974,0.92,1.69,9.19,0,0
35.034,0.92,1.69,9.19,0,0
35.094,0.77,1.69,9.19,0,0
35.154,0.92,1.69,9.35,0,0
35.214,0.92,1.69,9.35,0,0
35.274,0.77,1.69,9.19,0,0
35.334,0.92,1.69,9.19,0,0
35.394,0.92,1.69,9.19,0,0
35.454,0.77,1.69,9.19,0,0
35.514,0.92,1.69,9.19,0,0
35.574,0.92,1.69,9.19,0,0
35.634,0.92,1.69,9.19,0,0
35.694,0.92,1.69,9.19,0,0
35.754,0.77,1.69,9.19,0,0
35.814,0.92,1.69,9.19,0,0
35.874,0.92,1.69,9.35,0,0
35.934,0.92,1.69,9.19,0,0
35.994,0.92,1.69,9.19,0,0
36.054,0.92,1.69,9.19,0,0
36.114,0.92,1.69,9.19,0,0
36.174,0.77,1.69,9.19,0,0
36.234,0.92,1.69,9.19,0,0
36.296,0.92,1.69,9.19,0,0
36.363,0.92,1.69,9.19,0,0
36.414,0.92,1.69,9.35,0,0
36.474,0.77,1.69,9.19,0,0
36.534,0.92,1.69,9.19,0,0
36.594,0.92,1.53,9.19,0,0
36.654,0.92,1.69,9.19,0,0
36.714,0.92,1.69,9.19,0,0
36.774,0.77,1.69,9.35,0,0
36.841,0.92,1.69,9.19,0,0
36.894,0.92,1.69,9.19,0,0
36.954,0.92,1.69,9.19,0,0
37.014,0.92,1.69,9.19,0,0
37.074,0.77,1.84,9.19,0,0
37.134,0.92,1.69,9.19,0,0
37.194,0.92,1.69,9.19,0,0
37.254,0.92,1.69,9.19,0,0
37.314,0.92,1.84,9.19,0,0
37.374,0.92,1.69,9.19,0,0
37.434,0.92,1.84,9.19,0,0
37.494,0.92,1.69,9.19,0,0
37.554,0.92,1.69,9.19,0,0
37.614,0.92,1.69,9.19,0,0
37.674,0.92,1.69,9.19,0,0
37.734,0.92,1.69,9.35,0,0
37.794,0.92,1.69,9.19,0,0
37.854,0.92,1.69,9.19,0,0
37.915,0.92,1.69,9.19,0,0
37.974,0.77,1.69,9.19,0,0
38.034,0.92,1.69,9.19,0,0
38.114,0.77,1.84,9.35,0,0
38.214,0.92,1.69,9.19,0,0
38.274,0.77,1.69,9.19,0,0
38.346,0.92,1.69,9.35,0,0
38.405,0.92,1.69,9.19,0,0
38.454,0.77,1.84,9.19,0,0
38.514,0.92,1.69,9.19,0,0
38.574,0.92,1.69,9.19,0,0
38.634,0.92,1.69,9.19,0,0
38.694,0.92,1.69,9.19,0,0
38.754,0.92,1.69,9.19,0,0
38.814,0.92,1.69,9.19,0,0
38.876,0.92,1.69,9.19,0,0
38.934,0.92,1.69,9.35,0,0
38.994,0.77,1.69,9.19,0,0
39.054,0.92,1.69,9.35,0,0
39.114,0.92,1.69,9.35,0,0
39.174,0.92,1.69,9.19,0,0
39.234,0.92,1.69,9.19,0,0
39.294,0.92,1.69,9.35,0,0
39.354,0.92,1.69,9.35,0,0
39.414,0.92,1.69,9.35,0,0
39.474,0.92,1.69,9.19,0,0
39.534,0.92,1.69,9.19,0,0
39.594,0.77,1.69,9.19,0,0
39.655,0.92,1.69,9.19,0,0
39.714,0.77,1.69,9.35,0,0
39.774,0.92,1.69,9.19,0,0
39.844,0.92,1.69,9.19,0,0
39.899,0.92,1.69,9.19,0,0
39.954,0.92,1.69,9.19,0,0
40.014,0.92,1.69,9.35,0,0
40.074,0.92,1.69,9.19,0,0
40.134,0.92,1.69,9.35,0,0
40.194,0.92,1.69,9.19,0,0
40.257,0.92,1.69,9.19,0,0
40.317,0.92,1.69,9.19,0,0
40.385,0.92,1.69,9.19,0,0
40.439,0.92,1.69,9.19,0,0
40.494,0.92,1.69,9.35,0,0
40.554,0.77,1.69,9.19,0,0
40.614,0.92,1.84,9.19,0,0
