time,x-axis,y-axis,z-axis,Speedbreaker,Pothole
45.677,-1.23,5.67,6.9,0,0
45.744,-1.23,5.06,7.66,0,0
45.814,-1.07,4.9,7.35,0,0
45.874,-1.23,5.06,7.35,0,0
45.934,-1.38,5.21,7.81,0,0
45.994,-1.69,5.36,7.81,0,0
46.055,-1.84,5.67,7.66,0,0
46.115,-2.3,5.67,7.97,0,0
46.174,-2.3,5.36,7.66,0,0
46.236,-2.15,5.82,7.66,0,0
46.304,-1.53,5.52,6.74,0,0
46.364,-1.53,5.21,7.05,0,0
46.424,-0.92,6.13,7.35,0,0
46.485,-0.92,5.67,7.51,0,0
46.546,-0.46,6.28,7.97,0,0
46.614,-0.15,4.75,7.2,0,0
46.674,0.92,4.9,7.05,0,0
46.734,2.76,1.69,8.73,0,0
46.794,3.83,2.3,8.12,0,0
46.854,3.22,4.29,6.59,0,0
46.914,3.06,4.14,5.98,0,0
46.976,3.37,3.52,6.9,0,0
47.044,3.98,0.77,7.81,0,0
47.104,3.22,1.84,9.65,0,0
47.164,1.69,3.83,10.27,0,0
47.225,1.23,4.6,9.65,0,0
47.287,0.61,5.52,8.73,0,0
47.355,0.92,5.21,8.12,0,0
47.424,1.38,3.52,9.35,0,0
47.485,1.38,3.22,8.73,0,0
47.544,1.84,3.06,8.27,0,0
47.604,1.84,2.6,8.12,0,0
47.664,1.99,2.45,8.73,0,0
47.724,1.99,2.91,8.89,0,0
47.784,1.99,2.91,8.89,0,0
47.844,1.69,2.91,8.73,0,0
47.904,1.84,2.6,8.58,0,0
47.964,1.84,2.6,8.89,0,0
48.024,2.15,2.76,8.89,0,0
48.086,2.15,2.6,9.04,0,0
48.154,1.84,2.45,8.89,0,0
48.214,1.84,2.45,8.58,0,0
48.274,1.84,2.6,8.12,0,0
48.334,1.99,2.6,8.89,0,0
48.394,1.84,2.6,9.35,0,0
48.454,1.84,2.45,8.89,0,0
48.514,1.99,2.45,8.73,0,0
48.574,1.99,2.3,8.43,0,0
48.637,1.99,2.45,8.89,0,0
48.704,1.99,2.45,9.19,0,0
48.764,1.84,2.45,8.43,0,0
48.824,2.45,1.99,8.27,0,0
48.884,2.15,2.3,8.73,0,0
48.944,1.99,2.45,9.81,0,0
49.004,1.69,1.99,9.35,0,0
49.064,2.3,1.07,8.58,0,0
49.124,2.3,1.23,8.43,0,0
49.184,1.84,2.3,8.73,0,0
49.244,2.3,1.99,9.19,0,0
49.304,1.38,0.61,10.11,0,0
49.364,1.38,0.31,10.57,0,0
49.424,1.23,0.77,9.81,0,0
49.494,0.77,1.99,9.19,0,0
49.554,0.46,1.69,9.35,0,0
49.614,0.46,2.91,8.73,0,0
49.674,0.15,2.45,8.43,0,0
49.744,0.31,2.15,8.73,0,0
49.804,0.46,2.76,7.35,0,0
49.864,-0.15,2.91,7.51,0,0
49.924,-0.61,3.52,7.97,0,0
49.984,0.46,4.6,9.65,0,0
50.044,-0.31,3.22,10.88,0,0
50.104,-0.77,2.91,8.27,0,0
50.164,-0.77,3.52,7.51,0,0
50.226,-1.53,2.76,8.89,0,0
50.302,-1.23,2.76,9.65,0,0
50.364,-1.38,1.99,8.58,0,0
50.424,-1.07,2.3,8.43,0,0
50.49,-1.23,3.83,9.5,0,0
50.554,-0.77,2.91,9.04,0,0
50.614,-0.46,2.91,8.58,0,0
50.674,-0.77,2.76,8.73,0,0
50.744,-0.31,3.06,8.89,0,0
50.809,-0.46,3.22,8.73,0,0
50.874,-0.46,3.37,8.27,0,0
50.934,-0.46,2.91,9.04,0,0
50.994,-0.31,3.06,8.43,0,0
51.054,-0.31,3.06,9.04,0,0
51.114,-0.46,3.06,8.58,0,0
51.174,-0.46,2.91,8.73,0,0
51.244,-0.46,3.06,8.73,0,0
51.314,-0.46,3.06,8.73,0,0
51.374,-0.46,3.06,8.73,0,0
51.434,-0.31,2.91,8.73,0,0
51.494,-0.31,2.91,8.73,0,0
51.571,-0.15,2.91,8.89,0,0
51.634,-0.61,3.06,9.04,0,0
51.694,-0.61,2.91,8.43,0,0
51.756,-0.31,2.91,8.89,0,0
51.815,-0.31,3.22,8.89,0,0
51.874,-0.31,2.91,9.04,0,0
51.934,-0.31,3.06,8.73,0,0
51.994,-0.46,3.06,8.73,0,0
52.054,-0.46,2.91,8.89,0,0
52.114,-0.31,2.91,8.73,0,0
52.174,-0.31,2.91,8.89,0,0
52.243,-0.31,2.91,8.73,0,0
52.311,-0.31,2.91,8.89,0,0
52.374,-0.46,2.91,8.73,0,0
52.434,-0.31,2.76,8.89,0,0
52.494,-0.15,2.91,8.89,0,0
52.554,-0.31,2.91,8.89,0,0
52.614,-0.46,2.91,8.89,0,0
52.674,-0.31,2.91,8.89,0,0
52.734,-0.46,2.91,8.73,0,0
52.794,-0.46,2.91,8.89,0,0
52.864,-0.31,2.91,9.04,0,0
52.924,-0.46,2.91,8.89,0,0
53,-0.31,2.91,8.27,0,0
53.071,-0.31,2.91,9.04,0,0
53.134,-0.15,3.06,8.27,0,0
53.194,-0.31,3.06,8.89,0,0
53.264,-0.46,3.06,8.89,0,0
53.324,-0.31,3.06,8.73,0,0
53.384,-0.46,3.06,8.73,0,0
53.444,-0.46,2.91,8.73,0,0
53.504,-0.46,2.91,8.58,0,0
53.564,-0.31,2.91,8.89,0,0
53.624,-0.31,2.76,8.43,0,0
53.684,-0.31,3.83,8.89,0,0
53.744,-0.31,3.06,8.73,0,0
53.804,-0.15,3.22,8.58,0,0
53.864,-0.15,3.37,8.89,0,0
53.924,-0.31,3.37,8.58,0,0
53.993,-0.46,3.52,8.43,0,0
54.054,-0.31,3.52,8.89,0,0
54.114,-0.46,3.52,8.89,0,0
54.174,-0.46,3.37,8.73,0,0
54.244,-0.46,3.06,8.73,0,0
54.305,-0.46,3.22,8.73,0,0
54.364,-0.31,3.22,8.58,0,0
54.424,-0.46,3.37,8.58,0,0
54.494,-0.46,3.37,8.89,0,0
54.556,-0.61,3.06,8.58,0,0
54.624,-0.46,3.37,8.73,0,0
54.684,-0.46,3.22,8.73,0,0
54.744,-0.46,3.22,8.73,0,0
54.809,-0.46,3.37,8.73,0,0
54.874,-0.46,3.37,8.58,0,0
54.934,-1.07,4.6,8.27,0,0
54.994,-1.84,2.91,9.35,0,0
55.054,-2.15,2.15,9.19,0,0
55.114,-1.53,2.3,8.58,0,0
55.174,-2.15,2.3,9.04,0,0
55.234,-2.91,2.3,9.35,0,0
55.294,-2.91,2.45,9.35,0,0
55.354,-1.53,2.91,8.27,0,0
55.424,-1.38,2.91,9.65,0,0
55.493,-1.07,2.6,9.65,0,0
55.554,-0.92,2.45,9.65,0,0
55.614,-0.15,2.3,8.89,0,0
55.674,0.92,3.37,8.89,0,0
55.744,2.15,3.68,8.43,0,0
55.804,0.61,4.9,8.89,0,0
55.864,1.53,4.44,8.12,0,0
55.924,1.53,4.29,8.27,0,0
55.994,2.3,3.06,7.66,0,0
56.054,2.76,3.06,7.97,0,0
56.114,3.22,3.22,7.2,0,0
56.174,3.22,3.52,7.05,0,0
56.234,3.52,4.14,7.05,0,0
56.297,3.52,4.29,7.51,0,0
56.364,3.83,5.06,8.58,0,0
56.424,4.75,4.75,7.66,0,0
56.484,6.13,3.52,6.28,0,0
56.544,5.21,4.44,5.06,0,0
56.604,5.67,3.37,5.82,0,0
56.671,5.82,3.37,5.82,0,0
56.733,6.13,3.52,6.44,0,0
56.794,6.28,4.44,6.59,0,0
56.854,7.2,4.9,7.66,0,0
56.914,8.73,1.84,6.59,0,0
56.974,9.04,1.84,6.13,0,0
57.039,9.96,1.38,5.36,0,0
57.104,8.58,0.77,3.52,0,0
57.164,6.74,0.61,3.22,0,0
57.224,4.44,-0.61,4.44,0,0
57.284,2.76,-1.69,7.35,0,0
57.344,0.46,-0.46,8.27,0,0
57.404,0.15,-1.07,10.27,0,0
57.474,-0.92,-1.69,10.88,0,0
57.534,-1.53,-0.46,12.41,0,0
57.594,-1.38,-2.3,9.19,0,0
57.654,-1.84,-1.07,9.5,0,0
57.714,-1.23,-3.22,9.04,0,0
57.783,-2.91,-2.45,9.81,0,0
57.844,-2.3,-3.22,8.12,0,0
57.904,-1.99,-3.06,8.73,0,0
57.972,-3.22,-1.84,9.35,0,0
58.034,-1.99,-1.69,9.5,0,0
58.094,-0.61,-3.06,8.58,0,0
58.154,1.07,-3.06,9.81,0,0
58.224,-1.99,-2.6,9.19,0,0
58.286,-0.77,-3.37,9.35,0,0
58.354,-0.77,-2.76,9.19,0,0
58.414,-0.92,-2.6,9.35,0,0
58.474,-1.53,-2.91,9.19,0,0
58.534,-1.53,-2.45,9.35,0,0
58.594,-0.46,-3.06,9.19,0,0
58.654,-0.31,-2.76,9.19,0,0
58.733,-0.61,-2.76,9.19,0,0
58.794,-0.46,-2.76,9.19,0,0
58.854,-0.77,-2.76,9.19,0,0
58.914,-0.46,-2.91,9.35,0,0
58.993,-0.46,-2.91,9.35,0,0
59.054,-0.61,-2.76,9.19,0,0
59.114,-0.46,-2.91,9.35,0,0
59.174,-0.61,-2.76,9.19,0,0
59.241,-0.77,-2.76,9.19,0,0
59.301,-0.61,-2.91,9.5,0,0
59.364,-0.61,-2.91,9.19,0,0
59.424,-0.61,-2.76,9.04,0,0
59.493,-0.61,-2.91,9.35,0,0
59.555,-0.61,-2.76,9.35,0,0
59.614,-0.77,-2.76,9.19,0,0
59.674,-0.46,-2.91,9.35,0,0
59.734,-0.46,-2.76,9.19,0,0
59.794,-0.61,-2.6,9.04,0,0
59.854,-0.61,-2.91,9.19,0,0
59.914,-0.77,-2.76,9.19,0,0
59.974,-0.61,-2.76,9.35,0,0
60.034,-0.46,-2.91,9.19,0,0
60.094,-0.61,-2.76,9.19,0,0
60.154,-0.61,-2.76,9.35,0,0
60.224,-0.46,-2.91,9.35,0,0
60.284,-0.46,-2.76,9.19,0,0
60.344,-0.77,-2.91,9.19,0,0
60.404,-0.61,-2.76,9.19,0,0
60.474,-0.61,-2.76,9.19,0,0
60.534,-0.46,-2.91,9.35,0,0
60.594,-0.61,-2.76,9.19,0,0
60.654,-0.61,-2.76,9.19,0,0
60.724,-0.46,-2.91,9.5,0,0
60.794,-0.61,-2.76,9.35,0,0
60.854,-0.61,-2.91,9.19,0,0
60.916,-0.46,-2.91,9.35,0,0
60.986,-0.46,-2.91,9.35,0,0
61.054,-0.61,-2.76,9.19,0,0
61.114,-0.46,-2.91,9.35,0,0
61.174,-0.61,-2.76,9.19,0,0
61.234,-0.77,-2.76,9.19,0,0
61.294,-0.46,-2.91,9.35,0,0
61.354,-0.61,-2.76,9.19,0,0
61.414,-0.61,-2.76,9.19,0,0
61.474,-0.46,-2.76,9.35,0,0
61.534,-0.61,-2.76,9.19,0,0
61.594,-0.46,-2.76,9.35,0,0
61.654,-0.61,-2.76,9.19,0,0
61.723,-0.61,-2.76,9.19,0,0
61.785,-0.46,-2.91,9.35,0,0
61.844,-0.46,-2.76,9.19,0,0
